	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.9714	0.7907	0.8718	0.7727	44.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	1.0	0.75	0.8571	0.75	8.0
DRINKS#STYLE_OPTIONS	0.8333	0.8333	0.8333	0.7143	7.0
FOOD#PRICES	1.0	0.5625	0.72	0.5625	16.0
FOOD#QUALITY	0.9542	0.8333	0.8897	0.8013	156.0
FOOD#STYLE_OPTIONS	0.75	0.5455	0.6316	0.4615	26.0
LOCATION#GENERAL	1.0	0.6	0.75	0.6	5.0
RESTAURANT#GENERAL	0.7973	0.8429	0.8194	0.6941	85.0
RESTAURANT#MISCELLANEOUS	0.6667	0.3529	0.4615	0.3	20.0
RESTAURANT#PRICES	0.7692	0.7143	0.7407	0.5882	17.0
SERVICE#GENERAL	0.8933	0.8933	0.8933	0.8072	83.0
Micro-AVG	0.8898	0.7902	0.837	0.7197	471.0
Macro-AVG	2.5964	2.1797	2.3314		471
