	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6154	0.5581	0.5854	0.4138	58.0
DRINKS#PRICES	1.0	0.6667	0.8	0.6667	3.0
DRINKS#QUALITY	0.875	0.875	0.875	0.7778	9.0
DRINKS#STYLE_OPTIONS	0.8	0.6667	0.7273	0.5714	7.0
FOOD#PRICES	0.4286	0.1875	0.2609	0.15	20.0
FOOD#QUALITY	0.7969	0.68	0.7338	0.5795	176.0
FOOD#STYLE_OPTIONS	0.5	0.1818	0.2667	0.1538	26.0
LOCATION#GENERAL	0.6	0.6	0.6	0.4286	7.0
RESTAURANT#GENERAL	0.5246	0.4571	0.4885	0.3232	99.0
RESTAURANT#MISCELLANEOUS	0.25	0.0588	0.0952	0.05	20.0
RESTAURANT#PRICES	0.1818	0.1429	0.16	0.087	23.0
SERVICE#GENERAL	0.6351	0.6267	0.6309	0.4608	102.0
Micro-AVG	0.6562	0.5385	0.5915	0.42	550.0
Macro-AVG	0.6006	0.4751	0.5186		550
