lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,val_loss,val_f1
9.952884615384615e-05,9.952884615384615e-05,49,,,,
,,49,0.5152291059494019,0,,
9.904807692307692e-05,9.904807692307692e-05,99,,,,
,,99,0.17218783497810364,0,,
9.85673076923077e-05,9.85673076923077e-05,149,,,,
,,149,0.10719402134418488,0,,
9.808653846153847e-05,9.808653846153847e-05,199,,,,
,,199,0.3085806965827942,0,,
9.760576923076924e-05,9.760576923076924e-05,249,,,,
,,249,0.05744671821594238,1,,
9.7125e-05,9.7125e-05,299,,,,
,,299,0.15754631161689758,1,,
9.664423076923077e-05,9.664423076923077e-05,349,,,,
,,349,0.08335552364587784,1,,
9.616346153846154e-05,9.616346153846154e-05,399,,,,
,,399,0.04313252493739128,1,,
9.568269230769232e-05,9.568269230769232e-05,449,,,,
,,449,0.013235287740826607,2,,
9.520192307692308e-05,9.520192307692308e-05,499,,,,
,,499,0.033754829317331314,2,,
9.472115384615385e-05,9.472115384615385e-05,549,,,,
,,549,0.033100806176662445,2,,
9.424038461538463e-05,9.424038461538463e-05,599,,,,
,,599,0.050269659608602524,2,,
9.375961538461538e-05,9.375961538461538e-05,649,,,,
,,649,0.028118200600147247,3,,
9.327884615384615e-05,9.327884615384615e-05,699,,,,
,,699,0.02501475252211094,3,,
9.279807692307693e-05,9.279807692307693e-05,749,,,,
,,749,0.002788587473332882,3,,
9.23173076923077e-05,9.23173076923077e-05,799,,,,
,,799,0.0017818782944232225,3,,
9.183653846153847e-05,9.183653846153847e-05,849,,,,
,,849,0.0015077660791575909,4,,
9.135576923076923e-05,9.135576923076923e-05,899,,,,
,,899,0.0021924057509750128,4,,
9.0875e-05,9.0875e-05,949,,,,
,,949,0.002070440910756588,4,,
9.039423076923077e-05,9.039423076923077e-05,999,,,,
,,999,0.021215016022324562,4,,
8.991346153846155e-05,8.991346153846155e-05,1049,,,,
,,1049,0.005117253866046667,5,,
8.943269230769231e-05,8.943269230769231e-05,1099,,,,
,,1099,0.0027571546379476786,5,,
8.895192307692308e-05,8.895192307692308e-05,1149,,,,
,,1149,0.012185180559754372,5,,
8.847115384615385e-05,8.847115384615385e-05,1199,,,,
,,1199,0.0032166847959160805,5,,
8.799038461538463e-05,8.799038461538463e-05,1249,,,,
,,1249,0.0013515178579837084,6,,
8.750961538461538e-05,8.750961538461538e-05,1299,,,,
,,1299,0.002718890318647027,6,,
8.702884615384615e-05,8.702884615384615e-05,1349,,,,
,,1349,0.0251826960593462,6,,
8.654807692307693e-05,8.654807692307693e-05,1399,,,,
,,1399,0.0008831709856167436,6,,
8.60673076923077e-05,8.60673076923077e-05,1449,,,,
,,1449,0.006058161612600088,6,,
8.558653846153846e-05,8.558653846153846e-05,1499,,,,
,,1499,0.0008150921785272658,7,,
8.510576923076924e-05,8.510576923076924e-05,1549,,,,
,,1549,0.004336269572377205,7,,
8.4625e-05,8.4625e-05,1599,,,,
,,1599,0.0023362054489552975,7,,
8.414423076923076e-05,8.414423076923076e-05,1649,,,,
,,1649,0.0004440759075805545,7,,
8.366346153846154e-05,8.366346153846154e-05,1699,,,,
,,1699,0.0011842999374493957,8,,
8.318269230769231e-05,8.318269230769231e-05,1749,,,,
,,1749,0.0005093241925351322,8,,
8.270192307692308e-05,8.270192307692308e-05,1799,,,,
,,1799,0.0035361594054847956,8,,
8.222115384615386e-05,8.222115384615386e-05,1849,,,,
,,1849,0.00018944128532893956,8,,
8.174038461538463e-05,8.174038461538463e-05,1899,,,,
,,1899,0.0013497195905074477,9,,
8.125961538461538e-05,8.125961538461538e-05,1949,,,,
,,1949,0.0013114730827510357,9,,
8.077884615384616e-05,8.077884615384616e-05,1999,,,,
,,1999,0.004183646757155657,9,,
8.029807692307693e-05,8.029807692307693e-05,2049,,,,
,,2049,0.00021638706675730646,9,,
7.98173076923077e-05,7.98173076923077e-05,2099,,,,
,,2099,0.0003862204903271049,10,,
7.933653846153847e-05,7.933653846153847e-05,2149,,,,
,,2149,0.28307023644447327,10,,
7.885576923076924e-05,7.885576923076924e-05,2199,,,,
,,2199,0.0002282226923853159,10,,
7.8375e-05,7.8375e-05,2249,,,,
,,2249,0.0002952489594463259,10,,
7.789423076923077e-05,7.789423076923077e-05,2299,,,,
,,2299,0.025485048070549965,11,,
7.741346153846154e-05,7.741346153846154e-05,2349,,,,
,,2349,0.00017137857503257692,11,,
7.693269230769231e-05,7.693269230769231e-05,2399,,,,
,,2399,0.003325435798615217,11,,
7.645192307692308e-05,7.645192307692308e-05,2449,,,,
,,2449,0.0007445457740686834,11,,
7.597115384615386e-05,7.597115384615386e-05,2499,,,,
,,2499,0.00020574255904648453,12,,
7.549038461538462e-05,7.549038461538462e-05,2549,,,,
,,2549,0.0008336538448929787,12,,
7.500961538461539e-05,7.500961538461539e-05,2599,,,,
,,2599,0.00020854327885899693,12,,
7.452884615384616e-05,7.452884615384616e-05,2649,,,,
,,2649,0.02383352816104889,12,,
7.404807692307692e-05,7.404807692307692e-05,2699,,,,
,,2699,0.0007209938485175371,12,,
7.356730769230769e-05,7.356730769230769e-05,2749,,,,
,,2749,0.00010414714051876217,13,,
7.308653846153847e-05,7.308653846153847e-05,2799,,,,
,,2799,0.0032634891103953123,13,,
7.260576923076924e-05,7.260576923076924e-05,2849,,,,
,,2849,0.0010199918178841472,13,,
7.2125e-05,7.2125e-05,2899,,,,
,,2899,0.00010367342474637553,13,,
7.164423076923077e-05,7.164423076923077e-05,2949,,,,
,,2949,0.06489764899015427,14,,
7.116346153846154e-05,7.116346153846154e-05,2999,,,,
,,2999,0.0015214427839964628,14,,
7.06826923076923e-05,7.06826923076923e-05,3049,,,,
,,3049,0.0001459003397030756,14,,
7.020192307692309e-05,7.020192307692309e-05,3099,,,,
,,3099,0.001169688068330288,14,,
6.972115384615385e-05,6.972115384615385e-05,3149,,,,
,,3149,0.0005068898317404091,15,,
6.924038461538462e-05,6.924038461538462e-05,3199,,,,
,,3199,6.358275277307257e-05,15,,
6.875961538461539e-05,6.875961538461539e-05,3249,,,,
,,3249,0.00018119541346095502,15,,
6.827884615384615e-05,6.827884615384615e-05,3299,,,,
,,3299,0.002148095052689314,15,,
6.779807692307692e-05,6.779807692307692e-05,3349,,,,
,,3349,9.678638889454305e-05,16,,
6.73173076923077e-05,6.73173076923077e-05,3399,,,,
,,3399,0.0001652860955800861,16,,
6.683653846153847e-05,6.683653846153847e-05,3449,,,,
,,3449,0.002638804027810693,16,,
6.635576923076924e-05,6.635576923076924e-05,3499,,,,
,,3499,0.00015082009485922754,16,,
6.5875e-05,6.5875e-05,3549,,,,
,,3549,0.00013104788376949728,17,,
6.539423076923077e-05,6.539423076923077e-05,3599,,,,
,,3599,0.004522000905126333,17,,
6.491346153846154e-05,6.491346153846154e-05,3649,,,,
,,3649,0.0004244399897288531,17,,
6.443269230769232e-05,6.443269230769232e-05,3699,,,,
,,3699,0.000160855139256455,17,,
6.395192307692308e-05,6.395192307692308e-05,3749,,,,
,,3749,8.924632857088e-05,18,,
6.347115384615385e-05,6.347115384615385e-05,3799,,,,
,,3799,0.009189644828438759,18,,
6.299038461538462e-05,6.299038461538462e-05,3849,,,,
,,3849,0.0004959244979545474,18,,
6.250961538461538e-05,6.250961538461538e-05,3899,,,,
,,3899,0.00018514395924285054,18,,
6.202884615384615e-05,6.202884615384615e-05,3949,,,,
,,3949,6.561242480529472e-05,18,,
6.154807692307693e-05,6.154807692307693e-05,3999,,,,
,,3999,0.00016451218107249588,19,,
6.10673076923077e-05,6.10673076923077e-05,4049,,,,
,,4049,7.006560917943716e-05,19,,
6.0586538461538465e-05,6.0586538461538465e-05,4099,,,,
,,4099,7.756108971079811e-05,19,,
6.010576923076924e-05,6.010576923076924e-05,4149,,,,
,,4149,0.000226855932851322,19,,
5.9625e-05,5.9625e-05,4199,,,,
,,4199,6.863360613351688e-05,20,,
5.9144230769230766e-05,5.9144230769230766e-05,4249,,,,
,,4249,8.758799231145531e-05,20,,
5.866346153846154e-05,5.866346153846154e-05,4299,,,,
,,4299,0.00010226066660834476,20,,
5.8182692307692314e-05,5.8182692307692314e-05,4349,,,,
,,4349,5.275419243844226e-05,20,,
5.770192307692308e-05,5.770192307692308e-05,4399,,,,
,,4399,0.0005291930865496397,21,,
5.7221153846153854e-05,5.7221153846153854e-05,4449,,,,
,,4449,7.318330608541146e-05,21,,
5.674038461538462e-05,5.674038461538462e-05,4499,,,,
,,4499,0.00023514573695138097,21,,
5.625961538461538e-05,5.625961538461538e-05,4549,,,,
,,4549,9.235095058102161e-05,21,,
5.5778846153846155e-05,5.5778846153846155e-05,4599,,,,
,,4599,6.160210614325479e-05,22,,
5.529807692307692e-05,5.529807692307692e-05,4649,,,,
,,4649,0.00016334540850948542,22,,
5.4817307692307696e-05,5.4817307692307696e-05,4699,,,,
,,4699,4.508630809141323e-05,22,,
5.433653846153847e-05,5.433653846153847e-05,4749,,,,
,,4749,5.0294438551645726e-05,22,,
5.3855769230769236e-05,5.3855769230769236e-05,4799,,,,
,,4799,0.0001053765881806612,23,,
5.3374999999999996e-05,5.3374999999999996e-05,4849,,,,
,,4849,0.0011441524839028716,23,,
5.289423076923077e-05,5.289423076923077e-05,4899,,,,
,,4899,0.0001264622260350734,23,,
5.241346153846154e-05,5.241346153846154e-05,4949,,,,
,,4949,0.00019500177586451173,23,,
5.193269230769231e-05,5.193269230769231e-05,4999,,,,
,,4999,4.656503369915299e-05,24,,
5.145192307692308e-05,5.145192307692308e-05,5049,,,,
,,5049,7.866383384680375e-05,24,,
5.097115384615385e-05,5.097115384615385e-05,5099,,,,
,,5099,6.683832907583565e-05,24,,
5.0490384615384625e-05,5.0490384615384625e-05,5149,,,,
,,5149,3.375574669917114e-05,24,,
5.0009615384615385e-05,5.0009615384615385e-05,5199,,,,
,,5199,0.0006453265086747706,24,,
4.952884615384615e-05,4.952884615384615e-05,5249,,,,
,,5249,0.00010612974438117817,25,,
4.9048076923076926e-05,4.9048076923076926e-05,5299,,,,
,,5299,2.795499676722102e-05,25,,
4.856730769230769e-05,4.856730769230769e-05,5349,,,,
,,5349,0.00011336530587868765,25,,
4.8086538461538466e-05,4.8086538461538466e-05,5399,,,,
,,5399,8.20852947072126e-05,25,,
4.760576923076923e-05,4.760576923076923e-05,5449,,,,
,,5449,0.0001270533393835649,26,,
4.7125e-05,4.7125e-05,5499,,,,
,,5499,0.0002547875337768346,26,,
4.6644230769230774e-05,4.6644230769230774e-05,5549,,,,
,,5549,0.00014708984235767275,26,,
4.616346153846154e-05,4.616346153846154e-05,5599,,,,
,,5599,9.990143735194579e-05,26,,
4.568269230769231e-05,4.568269230769231e-05,5649,,,,
,,5649,4.913170778308995e-05,27,,
4.520192307692308e-05,4.520192307692308e-05,5699,,,,
,,5699,0.00011241153697483242,27,,
4.472115384615385e-05,4.472115384615385e-05,5749,,,,
,,5749,6.7254135501571e-05,27,,
4.4240384615384615e-05,4.4240384615384615e-05,5799,,,,
,,5799,0.00025145700783468783,27,,
4.375961538461539e-05,4.375961538461539e-05,5849,,,,
,,5849,0.0004996050847694278,28,,
4.3278846153846156e-05,4.3278846153846156e-05,5899,,,,
,,5899,5.497502570506185e-05,28,,
4.279807692307692e-05,4.279807692307692e-05,5949,,,,
,,5949,3.429776188568212e-05,28,,
4.23173076923077e-05,4.23173076923077e-05,5999,,,,
,,5999,5.819561192765832e-05,28,,
4.1836538461538464e-05,4.1836538461538464e-05,6049,,,,
,,6049,4.604848436429165e-05,29,,
