lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,val_loss,val_f1
9.9453125e-05,9.9453125e-05,49,,,,
,,49,0.29597821831703186,0,,
9.889508928571429e-05,9.889508928571429e-05,99,,,,
,,99,0.1997070014476776,0,,
9.833705357142857e-05,9.833705357142857e-05,149,,,,
,,149,0.16583126783370972,0,,
9.777901785714286e-05,9.777901785714286e-05,199,,,,
,,199,0.21994549036026,0,,
9.722098214285715e-05,9.722098214285715e-05,249,,,,
,,249,0.11578501015901566,0,,
9.666294642857144e-05,9.666294642857144e-05,299,,,,
,,299,0.06358009576797485,0,,
9.610491071428572e-05,9.610491071428572e-05,349,,,,
,,349,0.10162003338336945,0,,
9.5546875e-05,9.5546875e-05,399,,,,
,,399,0.14979229867458344,0,,
9.49888392857143e-05,9.49888392857143e-05,449,,,,
,,449,0.05119339004158974,1,,
9.443080357142857e-05,9.443080357142857e-05,499,,,,
,,499,0.047685932368040085,1,,
9.387276785714286e-05,9.387276785714286e-05,549,,,,
,,549,0.07218685001134872,1,,
9.331473214285715e-05,9.331473214285715e-05,599,,,,
,,599,0.08811727911233902,1,,
9.275669642857143e-05,9.275669642857143e-05,649,,,,
,,649,0.06394992768764496,1,,
9.219866071428572e-05,9.219866071428572e-05,699,,,,
,,699,0.03809530660510063,1,,
9.1640625e-05,9.1640625e-05,749,,,,
,,749,0.03340386226773262,1,,
9.10825892857143e-05,9.10825892857143e-05,799,,,,
,,799,0.05200608819723129,1,,
9.052455357142857e-05,9.052455357142857e-05,849,,,,
,,849,0.026969334110617638,1,,
8.996651785714287e-05,8.996651785714287e-05,899,,,,
,,899,0.012653682380914688,2,,
8.940848214285714e-05,8.940848214285714e-05,949,,,,
,,949,0.019906725734472275,2,,
8.885044642857143e-05,8.885044642857143e-05,999,,,,
,,999,0.024536242708563805,2,,
8.829241071428572e-05,8.829241071428572e-05,1049,,,,
,,1049,0.02785760909318924,2,,
8.7734375e-05,8.7734375e-05,1099,,,,
,,1099,0.012287800200283527,2,,
8.717633928571429e-05,8.717633928571429e-05,1149,,,,
,,1149,0.008236427791416645,2,,
8.661830357142858e-05,8.661830357142858e-05,1199,,,,
,,1199,0.04590586945414543,2,,
8.606026785714286e-05,8.606026785714286e-05,1249,,,,
,,1249,0.03574148565530777,2,,
8.550223214285714e-05,8.550223214285714e-05,1299,,,,
,,1299,0.00645191315561533,2,,
8.494419642857143e-05,8.494419642857143e-05,1349,,,,
,,1349,0.024289339780807495,3,,
8.438616071428573e-05,8.438616071428573e-05,1399,,,,
,,1399,0.01418239064514637,3,,
8.3828125e-05,8.3828125e-05,1449,,,,
,,1449,0.004145646467804909,3,,
8.327008928571429e-05,8.327008928571429e-05,1499,,,,
,,1499,0.011262684129178524,3,,
8.271205357142857e-05,8.271205357142857e-05,1549,,,,
,,1549,0.01347365789115429,3,,
8.215401785714286e-05,8.215401785714286e-05,1599,,,,
,,1599,0.040855418890714645,3,,
8.159598214285713e-05,8.159598214285713e-05,1649,,,,
,,1649,0.042406417429447174,3,,
8.103794642857144e-05,8.103794642857144e-05,1699,,,,
,,1699,0.0062414673157036304,3,,
8.047991071428572e-05,8.047991071428572e-05,1749,,,,
,,1749,0.008043485693633556,3,,
7.9921875e-05,7.9921875e-05,1799,,,,
,,1799,0.004492516163736582,4,,
7.93638392857143e-05,7.93638392857143e-05,1849,,,,
,,1849,0.013711708597838879,4,,
7.880580357142857e-05,7.880580357142857e-05,1899,,,,
,,1899,0.0011875563068315387,4,,
7.824776785714286e-05,7.824776785714286e-05,1949,,,,
,,1949,0.0034970755223184824,4,,
7.768973214285714e-05,7.768973214285714e-05,1999,,,,
,,1999,0.012969199568033218,4,,
7.713169642857143e-05,7.713169642857143e-05,2049,,,,
,,2049,0.007191322278231382,4,,
7.657366071428572e-05,7.657366071428572e-05,2099,,,,
,,2099,0.008392028510570526,4,,
7.6015625e-05,7.6015625e-05,2149,,,,
,,2149,0.0030396394431591034,4,,
7.54575892857143e-05,7.54575892857143e-05,2199,,,,
,,2199,0.040416307747364044,4,,
7.489955357142857e-05,7.489955357142857e-05,2249,,,,
,,2249,0.027036743238568306,5,,
7.434151785714287e-05,7.434151785714287e-05,2299,,,,
,,2299,0.015613710507750511,5,,
7.378348214285714e-05,7.378348214285714e-05,2349,,,,
,,2349,0.013147661462426186,5,,
7.322544642857143e-05,7.322544642857143e-05,2399,,,,
,,2399,0.015851693227887154,5,,
7.266741071428572e-05,7.266741071428572e-05,2449,,,,
,,2449,0.0019308719784021378,5,,
7.2109375e-05,7.2109375e-05,2499,,,,
,,2499,0.0026929988525807858,5,,
7.155133928571429e-05,7.155133928571429e-05,2549,,,,
,,2549,0.01214001514017582,5,,
7.099330357142858e-05,7.099330357142858e-05,2599,,,,
,,2599,0.0034351220820099115,5,,
7.043526785714286e-05,7.043526785714286e-05,2649,,,,
,,2649,0.0008593198726885021,5,,
6.987723214285714e-05,6.987723214285714e-05,2699,,,,
,,2699,0.004821463022381067,6,,
6.931919642857143e-05,6.931919642857143e-05,2749,,,,
,,2749,0.0008485782309435308,6,,
6.876116071428573e-05,6.876116071428573e-05,2799,,,,
,,2799,0.008367428556084633,6,,
6.8203125e-05,6.8203125e-05,2849,,,,
,,2849,0.00040894898120313883,6,,
6.764508928571429e-05,6.764508928571429e-05,2899,,,,
,,2899,0.0004988592700101435,6,,
6.708705357142857e-05,6.708705357142857e-05,2949,,,,
,,2949,0.01623900607228279,6,,
6.652901785714286e-05,6.652901785714286e-05,2999,,,,
,,2999,0.0002471541811246425,6,,
6.597098214285713e-05,6.597098214285713e-05,3049,,,,
,,3049,0.0002506815653759986,6,,
6.541294642857144e-05,6.541294642857144e-05,3099,,,,
,,3099,0.0010643285932019353,6,,
6.485491071428572e-05,6.485491071428572e-05,3149,,,,
,,3149,0.0015773021150380373,7,,
6.4296875e-05,6.4296875e-05,3199,,,,
,,3199,0.0002299658372066915,7,,
6.37388392857143e-05,6.37388392857143e-05,3249,,,,
,,3249,0.0010838707676157355,7,,
6.318080357142857e-05,6.318080357142857e-05,3299,,,,
,,3299,0.00011079615796916187,7,,
6.262276785714286e-05,6.262276785714286e-05,3349,,,,
,,3349,0.0011878504883497953,7,,
6.206473214285714e-05,6.206473214285714e-05,3399,,,,
,,3399,0.0038295520935207605,7,,
6.150669642857143e-05,6.150669642857143e-05,3449,,,,
,,3449,0.005566988606005907,7,,
6.094866071428572e-05,6.094866071428572e-05,3499,,,,
,,3499,0.0008365989197045565,7,,
6.0390625e-05,6.0390625e-05,3549,,,,
