lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,val_loss,val_f1
9.930985915492958e-05,9.930985915492958e-05,49,,,,
,,49,0.3728257417678833,0,,
9.86056338028169e-05,9.86056338028169e-05,99,,,,
,,99,0.2536814212799072,0,,
9.790140845070423e-05,9.790140845070423e-05,149,,,,
,,149,0.1858983039855957,0,,
9.719718309859154e-05,9.719718309859154e-05,199,,,,
,,199,0.14149980247020721,0,,
9.649295774647887e-05,9.649295774647887e-05,249,,,,
,,249,0.1269402801990509,0,,
9.57887323943662e-05,9.57887323943662e-05,299,,,,
,,299,0.09526098519563675,0,,
9.508450704225352e-05,9.508450704225352e-05,349,,,,
,,349,0.10693366080522537,0,,
9.438028169014085e-05,9.438028169014085e-05,399,,,,
,,399,0.0404227077960968,1,,
9.367605633802817e-05,9.367605633802817e-05,449,,,,
,,449,0.033705875277519226,1,,
9.29718309859155e-05,9.29718309859155e-05,499,,,,
,,499,0.06500397622585297,1,,
9.226760563380282e-05,9.226760563380282e-05,549,,,,
,,549,0.04025035351514816,1,,
9.156338028169015e-05,9.156338028169015e-05,599,,,,
,,599,0.03352983668446541,1,,
9.085915492957747e-05,9.085915492957747e-05,649,,,,
,,649,0.02962328866124153,1,,
9.01549295774648e-05,9.01549295774648e-05,699,,,,
,,699,0.02699652872979641,1,,
8.945070422535212e-05,8.945070422535212e-05,749,,,,
,,749,0.024275613948702812,2,,
8.874647887323944e-05,8.874647887323944e-05,799,,,,
,,799,0.023873301222920418,2,,
8.804225352112676e-05,8.804225352112676e-05,849,,,,
,,849,0.03288232535123825,2,,
8.733802816901409e-05,8.733802816901409e-05,899,,,,
,,899,0.028180815279483795,2,,
8.663380281690141e-05,8.663380281690141e-05,949,,,,
,,949,0.04397159442305565,2,,
8.592957746478874e-05,8.592957746478874e-05,999,,,,
,,999,0.013066958636045456,2,,
8.522535211267606e-05,8.522535211267606e-05,1049,,,,
,,1049,0.012795924209058285,2,,
8.452112676056339e-05,8.452112676056339e-05,1099,,,,
,,1099,0.025972453877329826,3,,
8.381690140845072e-05,8.381690140845072e-05,1149,,,,
,,1149,0.014357518404722214,3,,
8.311267605633804e-05,8.311267605633804e-05,1199,,,,
,,1199,0.008649686351418495,3,,
8.240845070422537e-05,8.240845070422537e-05,1249,,,,
,,1249,0.010389620438218117,3,,
8.170422535211268e-05,8.170422535211268e-05,1299,,,,
,,1299,0.02629413828253746,3,,
8.1e-05,8.1e-05,1349,,,,
,,1349,0.020703820511698723,3,,
8.029577464788733e-05,8.029577464788733e-05,1399,,,,
,,1399,0.013428396545350552,3,,
7.959154929577464e-05,7.959154929577464e-05,1449,,,,
,,1449,0.02444251999258995,4,,
7.888732394366197e-05,7.888732394366197e-05,1499,,,,
,,1499,0.005774542223662138,4,,
7.818309859154929e-05,7.818309859154929e-05,1549,,,,
,,1549,0.03587718680500984,4,,
7.747887323943662e-05,7.747887323943662e-05,1599,,,,
,,1599,0.0013631349429488182,4,,
7.677464788732394e-05,7.677464788732394e-05,1649,,,,
,,1649,0.0065252878703176975,4,,
7.607042253521127e-05,7.607042253521127e-05,1699,,,,
,,1699,0.0014519250253215432,4,,
7.53661971830986e-05,7.53661971830986e-05,1749,,,,
,,1749,0.021405458450317383,4,,
7.466197183098592e-05,7.466197183098592e-05,1799,,,,
,,1799,0.0023356874007731676,5,,
7.395774647887325e-05,7.395774647887325e-05,1849,,,,
,,1849,0.005699743051081896,5,,
7.325352112676057e-05,7.325352112676057e-05,1899,,,,
