lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,val_loss,val_f1
9.96073717948718e-05,9.96073717948718e-05,49,,,,
,,49,0.5318048000335693,0,,
9.920673076923077e-05,9.920673076923077e-05,99,,,,
,,99,0.24220062792301178,0,,
9.880608974358975e-05,9.880608974358975e-05,149,,,,
,,149,0.19674895703792572,0,,
9.840544871794872e-05,9.840544871794872e-05,199,,,,
,,199,0.13237105309963226,0,,
9.80048076923077e-05,9.80048076923077e-05,249,,,,
,,249,0.24389442801475525,0,,
9.760416666666667e-05,9.760416666666667e-05,299,,,,
,,299,0.14838750660419464,0,,
9.720352564102564e-05,9.720352564102564e-05,349,,,,
,,349,0.11415665596723557,0,,
9.680288461538462e-05,9.680288461538462e-05,399,,,,
,,399,0.13344493508338928,0,,
9.64022435897436e-05,9.64022435897436e-05,449,,,,
,,449,0.1147153377532959,1,,
9.600160256410257e-05,9.600160256410257e-05,499,,,,
,,499,0.13645337522029877,1,,
9.560096153846154e-05,9.560096153846154e-05,549,,,,
,,549,0.11845287680625916,1,,
9.520032051282052e-05,9.520032051282052e-05,599,,,,
,,599,0.10161851346492767,1,,
9.479967948717949e-05,9.479967948717949e-05,649,,,,
,,649,0.03287329897284508,1,,
9.439903846153847e-05,9.439903846153847e-05,699,,,,
,,699,0.019502805545926094,1,,
9.399839743589744e-05,9.399839743589744e-05,749,,,,
,,749,0.042002711445093155,1,,
9.35977564102564e-05,9.35977564102564e-05,799,,,,
,,799,0.19554874300956726,1,,
9.319711538461539e-05,9.319711538461539e-05,849,,,,
,,849,0.025373492389917374,2,,
9.279647435897437e-05,9.279647435897437e-05,899,,,,
,,899,0.030072396621108055,2,,
9.239583333333334e-05,9.239583333333334e-05,949,,,,
,,949,0.05991212651133537,2,,
9.199519230769232e-05,9.199519230769232e-05,999,,,,
,,999,0.01948588527739048,2,,
9.159455128205129e-05,9.159455128205129e-05,1049,,,,
,,1049,0.02161693572998047,2,,
9.119391025641026e-05,9.119391025641026e-05,1099,,,,
