	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.7778	0.4118	0.5385	0.3684	19.0
AMBIENCE:NEUTRAL	1.0	1.0	1.0	1.0	1.0
AMBIENCE:POSITIVE	0.8261	0.8261	0.8261	0.7037	54.0
FOOD:NEGATIVE	0.7	0.6447	0.6712	0.5052	97.0
FOOD:NEUTRAL	0.9167	0.8462	0.88	0.7857	14.0
FOOD:POSITIVE	0.8295	0.9068	0.8664	0.7643	140.0
PRICE:NEGATIVE	0.6087	0.7	0.6512	0.4828	29.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.625	1.0	0.7692	0.625	8.0
GENERAL-IMPRESSION:NEGATIVE	0.8182	0.6923	0.75	0.6	45.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.6667	0.8	0.6667	3.0
GENERAL-IMPRESSION:POSITIVE	0.8537	0.7292	0.7865	0.6481	54.0
SERVICE:NEGATIVE	0.8627	0.6984	0.7719	0.6286	70.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
SERVICE:POSITIVE	0.9118	0.8857	0.8986	0.8158	76.0
Micro-AVG	0.8138	0.7701	0.7913	0.6547	614.0
Macro-AVG	0.7153	0.6672	0.6806		614
