	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8684	0.8049	0.8354	0.7174	46.0
DRINKS#PRICES	0.6667	0.6667	0.6667	0.5	4.0
DRINKS#QUALITY	0.7143	0.7143	0.7143	0.5556	9.0
DRINKS#STYLE_OPTIONS	1.0	0.75	0.8571	0.75	4.0
FOOD#PRICES	0.7692	0.5882	0.6667	0.5	20.0
FOOD#QUALITY	0.82	0.9318	0.8723	0.7736	159.0
FOOD#STYLE_OPTIONS	0.5455	0.5714	0.5581	0.3871	31.0
LOCATION#GENERAL	1.0	0.5	0.6667	0.5	4.0
RESTAURANT#GENERAL	0.8548	0.7571	0.803	0.6709	79.0
RESTAURANT#MISCELLANEOUS	0.5	0.6	0.5455	0.375	24.0
RESTAURANT#PRICES	0.6667	0.6667	0.6667	0.5	16.0
SERVICE#GENERAL	0.9375	0.8219	0.8759	0.7792	77.0
Micro-AVG	0.8122	0.802	0.8071	0.6765	473.0
Macro-AVG	2.3358	2.0932	2.1821		473
