	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7333	0.8462	0.7857	0.6471	34.0
DRINKS#PRICES	0.6667	1.0	0.8	0.6667	3.0
DRINKS#QUALITY	0.8	0.8	0.8	0.6667	6.0
DRINKS#STYLE_OPTIONS	0.6667	1.0	0.8	0.6667	6.0
FOOD#PRICES	0.625	0.5	0.5556	0.3846	13.0
FOOD#QUALITY	0.8065	0.8929	0.8475	0.7353	102.0
FOOD#STYLE_OPTIONS	0.6667	0.4615	0.5455	0.375	16.0
LOCATION#GENERAL	0.6667	0.6667	0.6667	0.5	4.0
RESTAURANT#GENERAL	0.8529	0.7073	0.7733	0.6304	46.0
RESTAURANT#MISCELLANEOUS	1.0	0.2	0.3333	0.2	10.0
RESTAURANT#PRICES	0.5714	0.4444	0.5	0.3333	12.0
SERVICE#GENERAL	0.8333	0.7955	0.814	0.6863	51.0
Micro-AVG	0.7851	0.757	0.7708	0.6271	303.0
Macro-AVG	0.7408	0.6929	0.6851		303
