	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6486	0.5217	0.5783	0.4068	59.0
DRINKS#PRICES	0.5	0.6667	0.5714	0.4	5.0
DRINKS#QUALITY	0.0	0.0	0.0	0.0	8.0
DRINKS#STYLE_OPTIONS	0.6	0.4286	0.5	0.3333	9.0
FOOD#PRICES	0.6364	0.4667	0.5385	0.3684	19.0
FOOD#QUALITY	0.6562	0.7047	0.6796	0.5147	204.0
FOOD#STYLE_OPTIONS	0.2857	0.16	0.2051	0.1143	35.0
LOCATION#GENERAL	0.5	0.4	0.4444	0.2857	7.0
RESTAURANT#GENERAL	0.7931	0.6571	0.7188	0.561	82.0
RESTAURANT#MISCELLANEOUS	0.4286	0.3333	0.375	0.2308	26.0
RESTAURANT#PRICES	0.5	0.6154	0.5517	0.381	21.0
SERVICE#GENERAL	0.7059	0.6761	0.6906	0.5275	91.0
Micro-AVG	0.6505	0.5944	0.6212	0.4505	566.0
Macro-AVG	0.5212	0.4692	0.4878		566
