	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5692	0.8605	0.6852	0.5211	71.0
DRINKS#PRICES	0.375	1.0	0.5455	0.375	8.0
DRINKS#QUALITY	0.6	0.375	0.4615	0.3	10.0
DRINKS#STYLE_OPTIONS	1.0	0.3333	0.5	0.3333	6.0
FOOD#PRICES	0.4615	0.375	0.4138	0.2609	23.0
FOOD#QUALITY	0.9545	0.7	0.8077	0.6774	155.0
FOOD#STYLE_OPTIONS	0.3226	0.4545	0.3774	0.2326	43.0
LOCATION#GENERAL	0.1429	0.2	0.1667	0.0909	11.0
RESTAURANT#GENERAL	0.6571	0.6571	0.6571	0.4894	94.0
RESTAURANT#MISCELLANEOUS	1.0	0.0588	0.1111	0.0588	17.0
RESTAURANT#PRICES	0.75	0.8571	0.8	0.6667	18.0
SERVICE#GENERAL	0.8592	0.8133	0.8356	0.7176	85.0
Micro-AVG	0.7193	0.669	0.6932	0.5305	541.0
Macro-AVG	0.641	0.557	0.5301		541
