	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7368	0.6829	0.7089	0.549	51.0
DRINKS#PRICES	0.3333	1.0	0.5	0.3333	9.0
DRINKS#QUALITY	0.8	0.5714	0.6667	0.5	8.0
DRINKS#STYLE_OPTIONS	0.4	1.0	0.5714	0.4	10.0
FOOD#PRICES	0.4706	0.4706	0.4706	0.3077	26.0
FOOD#QUALITY	0.9355	0.6591	0.7733	0.6304	138.0
FOOD#STYLE_OPTIONS	0.2239	0.7143	0.3409	0.2055	73.0
LOCATION#GENERAL	0.16	1.0	0.2759	0.16	25.0
RESTAURANT#GENERAL	0.5859	0.8286	0.6864	0.5225	111.0
RESTAURANT#MISCELLANEOUS	0.125	0.0667	0.087	0.0455	22.0
RESTAURANT#PRICES	0.7	0.5833	0.6364	0.4667	15.0
SERVICE#GENERAL	1.0	0.7808	0.8769	0.7808	73.0
Micro-AVG	0.6301	0.6917	0.6595	0.492	561.0
Macro-AVG	0.5393	0.6965	0.5495		561
