	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.825	0.7674	0.7952	0.66	50.0
DRINKS#PRICES	0.3333	0.6667	0.4444	0.2857	7.0
DRINKS#QUALITY	0.8333	0.625	0.7143	0.5556	9.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.7778	0.4375	0.56	0.3889	18.0
FOOD#QUALITY	0.9027	0.68	0.7757	0.6335	161.0
FOOD#STYLE_OPTIONS	0.3636	0.3636	0.3636	0.2222	36.0
LOCATION#GENERAL	0.2143	0.6	0.3158	0.1875	16.0
RESTAURANT#GENERAL	0.7302	0.6571	0.6917	0.5287	87.0
RESTAURANT#MISCELLANEOUS	0.4	0.1176	0.1818	0.1	20.0
RESTAURANT#PRICES	0.6429	0.6429	0.6429	0.4737	19.0
SERVICE#GENERAL	0.9219	0.7867	0.8489	0.7375	80.0
Micro-AVG	0.7778	0.6527	0.7098	0.5501	509.0
Macro-AVG	0.6621	0.5843	0.5945		509
