	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7674	0.8049	0.7857	0.6471	51.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	3.0
DRINKS#QUALITY	0.8571	0.75	0.8	0.6667	9.0
DRINKS#STYLE_OPTIONS	0.6	0.75	0.6667	0.5	6.0
FOOD#PRICES	1.0	0.3077	0.4706	0.3077	13.0
FOOD#QUALITY	0.9	0.7297	0.806	0.675	160.0
FOOD#STYLE_OPTIONS	0.4444	0.5217	0.48	0.3158	38.0
LOCATION#GENERAL	0.25	0.5	0.3333	0.2	10.0
RESTAURANT#GENERAL	0.7439	0.8714	0.8026	0.6703	91.0
RESTAURANT#MISCELLANEOUS	0.16	0.2667	0.2	0.1111	36.0
RESTAURANT#PRICES	0.4333	0.9286	0.5909	0.4194	31.0
SERVICE#GENERAL	0.9375	0.7895	0.8571	0.75	80.0
Micro-AVG	0.7373	0.7303	0.7338	0.5795	528.0
Macro-AVG	0.5911	0.6017	0.5661		528
