	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.625	0.7895	0.6977	0.5357	56.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	4.0
AMBIENCE:POSITIVE	0.7576	0.8333	0.7937	0.6579	114.0
FOOD:NEGATIVE	0.7688	0.7606	0.7647	0.619	231.0
FOOD:NEUTRAL	0.7647	0.65	0.7027	0.5417	48.0
FOOD:POSITIVE	0.8605	0.7872	0.8222	0.6981	318.0
PRICE:NEGATIVE	0.8235	0.75	0.785	0.6462	65.0
PRICE:NEUTRAL	0.75	0.3333	0.4615	0.3	10.0
PRICE:POSITIVE	0.5789	0.7857	0.6667	0.5	22.0
GENERAL-IMPRESSION:NEGATIVE	0.6519	0.9626	0.7774	0.6358	162.0
GENERAL-IMPRESSION:NEUTRAL	0.7	0.7	0.7	0.5385	13.0
GENERAL-IMPRESSION:POSITIVE	0.6757	0.8403	0.7491	0.5988	167.0
SERVICE:NEGATIVE	0.8841	0.8133	0.8472	0.7349	166.0
SERVICE:NEUTRAL	0.5	0.6667	0.5714	0.4	5.0
SERVICE:POSITIVE	0.953	0.8503	0.8987	0.8161	174.0
Micro-AVG	0.7859	0.8063	0.796	0.6611	1555.0
Macro-AVG	0.6862	0.7015	0.6825		1555
