	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.8	0.7273	0.7619	0.6154	26.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
AMBIENCE:POSITIVE	0.7941	0.75	0.7714	0.6279	43.0
FOOD:NEGATIVE	0.7407	0.7895	0.7643	0.6186	97.0
FOOD:NEUTRAL	0.6429	0.6923	0.6667	0.5	18.0
FOOD:POSITIVE	0.8586	0.7328	0.7907	0.6538	130.0
PRICE:NEGATIVE	0.8571	0.6667	0.75	0.6	30.0
PRICE:NEUTRAL	1.0	1.0	1.0	1.0	2.0
PRICE:POSITIVE	0.5	0.5	0.5	0.3333	9.0
GENERAL-IMPRESSION:NEGATIVE	0.5574	0.8718	0.68	0.5152	66.0
GENERAL-IMPRESSION:NEUTRAL	0.5	0.5	0.5	0.3333	3.0
GENERAL-IMPRESSION:POSITIVE	0.6452	0.8163	0.7207	0.5634	71.0
SERVICE:NEGATIVE	0.8	0.9123	0.8525	0.7429	70.0
SERVICE:NEUTRAL	0.6667	1.0	0.8	0.6667	3.0
SERVICE:POSITIVE	0.8939	0.8194	0.8551	0.7468	79.0
Micro-AVG	0.7598	0.7861	0.7727	0.6296	648.0
Macro-AVG	0.6838	0.7186	0.6942		648
