	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.6364	0.875	0.7368	0.5833	24.0
AMBIENCE:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
AMBIENCE:POSITIVE	0.775	0.7045	0.7381	0.5849	53.0
FOOD:NEGATIVE	0.7333	0.8571	0.7904	0.6535	101.0
FOOD:NEUTRAL	0.6667	0.6667	0.6667	0.5	16.0
FOOD:POSITIVE	0.956	0.8878	0.9206	0.8529	102.0
PRICE:NEGATIVE	0.7778	0.7	0.7368	0.5833	24.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.6667	0.6667	0.6667	0.5	8.0
GENERAL-IMPRESSION:NEGATIVE	0.6667	0.8718	0.7556	0.6071	56.0
GENERAL-IMPRESSION:NEUTRAL	1.0	0.6667	0.8	0.6667	3.0
GENERAL-IMPRESSION:POSITIVE	0.6825	0.8958	0.7748	0.6324	68.0
SERVICE:NEGATIVE	0.8793	0.9107	0.8947	0.8095	63.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.8732	0.9254	0.8986	0.8158	76.0
Micro-AVG	0.7928	0.851	0.8209	0.6962	599.0
Macro-AVG	0.6542	0.7085	0.6698		599
