	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6765	0.8846	0.7667	0.6216	37.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	0.75	0.6	0.6667	0.5	6.0
DRINKS#STYLE_OPTIONS	1.0	1.0	1.0	1.0	4.0
FOOD#PRICES	0.5714	0.4	0.4706	0.3077	13.0
FOOD#QUALITY	0.8833	0.631	0.7361	0.5824	91.0
FOOD#STYLE_OPTIONS	0.2333	0.5385	0.3256	0.1944	36.0
LOCATION#GENERAL	0.1538	0.6667	0.25	0.1429	14.0
RESTAURANT#GENERAL	0.6604	0.8537	0.7447	0.5932	59.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	13.0
RESTAURANT#PRICES	0.6667	0.8889	0.7619	0.6154	13.0
SERVICE#GENERAL	0.7778	0.7955	0.7865	0.6481	54.0
Micro-AVG	0.6592	0.7012	0.6795	0.5146	342.0
Macro-AVG	0.6144	0.6882	0.6257		342
