	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.717	0.8636	0.7835	0.6441	59.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	0.5714	0.4444	0.5	0.3333	12.0
DRINKS#STYLE_OPTIONS	0.8333	0.8333	0.8333	0.7143	7.0
FOOD#PRICES	0.9091	0.6667	0.7692	0.625	16.0
FOOD#QUALITY	0.8049	0.7734	0.7888	0.6513	152.0
FOOD#STYLE_OPTIONS	0.4286	0.625	0.5085	0.3409	44.0
LOCATION#GENERAL	0.3333	0.2	0.25	0.1429	7.0
RESTAURANT#GENERAL	0.6667	0.9014	0.7665	0.6214	103.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	20.0
RESTAURANT#PRICES	0.6364	0.5	0.56	0.3889	18.0
SERVICE#GENERAL	0.7391	0.8608	0.7953	0.6602	103.0
Micro-AVG	0.7072	0.7566	0.7311	0.5761	545.0
Macro-AVG	0.6158	0.6391	0.6177		545
