	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8846	0.561	0.6866	0.5227	44.0
DRINKS#PRICES	0.6667	0.6667	0.6667	0.5	4.0
DRINKS#QUALITY	0.5556	0.625	0.5882	0.4167	12.0
DRINKS#STYLE_OPTIONS	1.0	0.25	0.4	0.25	4.0
FOOD#PRICES	0.7143	0.3846	0.5	0.3333	15.0
FOOD#QUALITY	0.8594	0.7432	0.7971	0.6627	166.0
FOOD#STYLE_OPTIONS	0.381	0.6957	0.4923	0.3265	49.0
LOCATION#GENERAL	0.1579	0.75	0.2609	0.15	20.0
RESTAURANT#GENERAL	0.6552	0.8143	0.7261	0.57	100.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	21.0
RESTAURANT#PRICES	0.4286	0.6429	0.5143	0.3462	26.0
SERVICE#GENERAL	0.7532	0.7632	0.7582	0.6105	95.0
Micro-AVG	0.6784	0.6897	0.684	0.5198	556.0
Macro-AVG	0.588	0.5747	0.5325		556
