	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.35	0.875	0.5	0.3333	42.0
AMBIENCE:NEUTRAL	0.0625	1.0	0.1176	0.0625	16.0
AMBIENCE:POSITIVE	0.7234	0.8095	0.764	0.6182	55.0
FOOD:NEGATIVE	0.8485	0.7568	0.8	0.6667	84.0
FOOD:NEUTRAL	0.5	0.6667	0.5714	0.4	25.0
FOOD:POSITIVE	0.9333	0.6614	0.7742	0.6316	133.0
PRICE:NEGATIVE	0.6667	0.8182	0.7347	0.5806	31.0
PRICE:NEUTRAL	0.4	1.0	0.5714	0.4	5.0
PRICE:POSITIVE	1.0	0.8	0.8889	0.8	5.0
GENERAL-IMPRESSION:NEGATIVE	0.8182	0.9231	0.8675	0.766	47.0
GENERAL-IMPRESSION:NEUTRAL	0.25	1.0	0.4	0.25	12.0
GENERAL-IMPRESSION:POSITIVE	0.7593	0.8542	0.8039	0.6721	61.0
SERVICE:NEGATIVE	0.7879	0.9123	0.8455	0.7324	71.0
SERVICE:NEUTRAL	0.0909	1.0	0.1667	0.0909	11.0
SERVICE:POSITIVE	0.9375	0.8108	0.8696	0.7692	78.0
Micro-AVG	0.735	0.7909	0.7619	0.6154	676.0
Macro-AVG	0.6085	0.8592	0.645		676
