	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.459	0.6512	0.5385	0.3684	76.0
DRINKS#PRICES	0.3333	0.6667	0.4444	0.2857	7.0
DRINKS#QUALITY	0.5	0.375	0.4286	0.2727	11.0
DRINKS#STYLE_OPTIONS	1.0	0.3333	0.5	0.3333	6.0
FOOD#PRICES	0.7	0.4375	0.5385	0.3684	19.0
FOOD#QUALITY	0.7786	0.68	0.726	0.5698	179.0
FOOD#STYLE_OPTIONS	0.32	0.3636	0.3404	0.2051	39.0
LOCATION#GENERAL	1.0	0.2	0.3333	0.2	5.0
RESTAURANT#GENERAL	0.6386	0.7571	0.6928	0.53	100.0
RESTAURANT#MISCELLANEOUS	0.6667	0.1176	0.2	0.1111	18.0
RESTAURANT#PRICES	0.75	0.8571	0.8	0.6667	18.0
SERVICE#GENERAL	0.8226	0.68	0.7445	0.593	86.0
Micro-AVG	0.6675	0.6317	0.6491	0.4805	564.0
Macro-AVG	0.6641	0.5099	0.5239		564
