	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.0418	0.875	0.0798	0.0415	337.0
AMBIENCE:NEUTRAL	0.2	1.0	0.3333	0.2	5.0
AMBIENCE:POSITIVE	0.1529	0.881	0.2606	0.1498	247.0
FOOD:NEGATIVE	0.1889	0.7838	0.3045	0.1796	323.0
FOOD:NEUTRAL	0.8333	0.3333	0.4762	0.3125	16.0
FOOD:POSITIVE	0.3067	0.7244	0.4309	0.2746	335.0
PRICE:NEGATIVE	1.0	0.7273	0.8421	0.7273	22.0
PRICE:NEUTRAL	0.4	1.0	0.5714	0.4	5.0
PRICE:POSITIVE	1.0	1.0	1.0	1.0	5.0
GENERAL-IMPRESSION:NEGATIVE	0.5323	0.8462	0.6535	0.4853	68.0
GENERAL-IMPRESSION:NEUTRAL	0.4286	1.0	0.6	0.4286	7.0
GENERAL-IMPRESSION:POSITIVE	0.6406	0.8542	0.7321	0.5775	71.0
SERVICE:NEGATIVE	0.3162	0.6491	0.4253	0.2701	137.0
SERVICE:NEUTRAL	0.2	1.0	0.3333	0.2	5.0
SERVICE:POSITIVE	0.8906	0.7703	0.8261	0.7037	81.0
Micro-AVG	0.261	0.7643	0.3892	0.2416	1664.0
Macro-AVG	0.4755	0.8296	0.5246		1664
