	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.2264	0.8372	0.3564	0.2169	166.0
DRINKS#PRICES	0.1154	1.0	0.2069	0.1154	26.0
DRINKS#QUALITY	0.1071	0.375	0.1667	0.0909	33.0
DRINKS#STYLE_OPTIONS	0.5	0.1667	0.25	0.1429	7.0
FOOD#PRICES	0.6364	0.4375	0.5185	0.35	20.0
FOOD#QUALITY	0.2104	0.8333	0.336	0.2019	619.0
FOOD#STYLE_OPTIONS	0.3158	0.2727	0.2927	0.1714	35.0
LOCATION#GENERAL	0.5	0.2	0.2857	0.1667	6.0
RESTAURANT#GENERAL	0.4173	0.7571	0.5381	0.3681	144.0
RESTAURANT#MISCELLANEOUS	0.3333	0.0588	0.1	0.0526	19.0
RESTAURANT#PRICES	0.7333	0.7857	0.7586	0.6111	18.0
SERVICE#GENERAL	0.3824	0.6933	0.4929	0.327	159.0
Micro-AVG	0.2665	0.697	0.3856	0.2388	1252.0
Macro-AVG	0.3731	0.5348	0.3585		1252
