	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5211	0.8409	0.6435	0.4744	78.0
DRINKS#PRICES	0.5	0.6667	0.5714	0.4	5.0
DRINKS#QUALITY	0.6667	0.6667	0.6667	0.5	12.0
DRINKS#STYLE_OPTIONS	1.0	0.1667	0.2857	0.1667	6.0
FOOD#PRICES	0.7857	0.7333	0.7586	0.6111	18.0
FOOD#QUALITY	0.781	0.8359	0.8075	0.6772	158.0
FOOD#STYLE_OPTIONS	0.3137	0.6667	0.4267	0.2712	59.0
LOCATION#GENERAL	1.0	0.2	0.3333	0.2	5.0
RESTAURANT#GENERAL	0.7024	0.831	0.7613	0.6146	96.0
RESTAURANT#MISCELLANEOUS	0.75	0.1765	0.2857	0.1667	18.0
RESTAURANT#PRICES	0.625	0.3571	0.4545	0.2941	17.0
SERVICE#GENERAL	0.9844	0.7975	0.8811	0.7875	80.0
Micro-AVG	0.6942	0.7494	0.7207	0.5634	552.0
Macro-AVG	0.7192	0.5783	0.573		552
