	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6667	0.6829	0.6747	0.5091	55.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	3.0
DRINKS#QUALITY	0.6	0.8571	0.7059	0.5455	11.0
DRINKS#STYLE_OPTIONS	0.75	0.75	0.75	0.6	5.0
FOOD#PRICES	0.6923	0.5294	0.6	0.4286	21.0
FOOD#QUALITY	0.7402	0.7121	0.7259	0.5697	165.0
FOOD#STYLE_OPTIONS	1.0	0.0476	0.0909	0.0476	21.0
LOCATION#GENERAL	0.0	0.0	0.0	0.0	11.0
RESTAURANT#GENERAL	0.7681	0.7571	0.7626	0.6163	86.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	18.0
RESTAURANT#PRICES	0.7	0.5833	0.6364	0.4667	15.0
SERVICE#GENERAL	0.9474	0.7397	0.8308	0.7105	76.0
Micro-AVG	0.7457	0.6466	0.6926	0.5298	487.0
Macro-AVG	0.6554	0.5549	0.5648		487
