	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.75	0.75	0.75	0.6	55.0
DRINKS#PRICES	1.0	0.6667	0.8	0.6667	3.0
DRINKS#QUALITY	0.6667	0.4444	0.5333	0.3636	11.0
DRINKS#STYLE_OPTIONS	1.0	0.3333	0.5	0.3333	6.0
FOOD#PRICES	1.0	0.2	0.3333	0.2	15.0
FOOD#QUALITY	0.8702	0.8906	0.8803	0.7862	145.0
FOOD#STYLE_OPTIONS	0.5	0.25	0.3333	0.2	30.0
LOCATION#GENERAL	1.0	0.2	0.3333	0.2	5.0
RESTAURANT#GENERAL	0.7093	0.8592	0.7771	0.6354	96.0
RESTAURANT#MISCELLANEOUS	0.6667	0.1176	0.2	0.1111	18.0
RESTAURANT#PRICES	0.5217	0.8571	0.6486	0.48	25.0
SERVICE#GENERAL	0.8923	0.7342	0.8056	0.6744	86.0
Micro-AVG	0.7884	0.7181	0.7516	0.602	495.0
Macro-AVG	0.7981	0.5253	0.5746		495
