	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.6667	0.5333	0.5926	0.4211	19.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
AMBIENCE:POSITIVE	0.7442	0.7805	0.7619	0.6154	52.0
FOOD:NEGATIVE	0.1097	0.7846	0.1925	0.1065	479.0
FOOD:NEUTRAL	0.1613	0.4167	0.2326	0.1316	38.0
FOOD:POSITIVE	0.2665	0.7589	0.3944	0.2457	346.0
PRICE:NEGATIVE	0.1438	0.913	0.2485	0.1419	148.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
PRICE:POSITIVE	0.625	1.0	0.7692	0.625	8.0
GENERAL-IMPRESSION:NEGATIVE	0.5385	0.8974	0.6731	0.5072	69.0
GENERAL-IMPRESSION:NEUTRAL	0.0	0.0	0.0	0.0	3.0
GENERAL-IMPRESSION:POSITIVE	0.5443	0.8776	0.6719	0.5059	85.0
SERVICE:NEGATIVE	0.3947	0.8182	0.5325	0.3629	124.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.6023	0.791	0.6839	0.5196	102.0
Micro-AVG	0.2796	0.7832	0.412	0.2595	1476.0
Macro-AVG	0.3198	0.5714	0.3835		1476
