	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.1103	0.6818	0.1899	0.1049	143.0
AMBIENCE:NEUTRAL	0	0	0	0	0
AMBIENCE:POSITIVE	0.75	0.6667	0.7059	0.5455	44.0
FOOD:NEGATIVE	0.3174	0.6974	0.4362	0.2789	190.0
FOOD:NEUTRAL	0.75	0.4615	0.5714	0.4	15.0
FOOD:POSITIVE	0.3814	0.7759	0.5114	0.3435	262.0
PRICE:NEGATIVE	0.9091	0.3704	0.5263	0.3571	28.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	2.0
PRICE:POSITIVE	0.6667	0.3333	0.4444	0.2857	7.0
GENERAL-IMPRESSION:NEGATIVE	0.5	0.8718	0.6355	0.4658	73.0
GENERAL-IMPRESSION:NEUTRAL	0.0	0.0	0.0	0.0	2.0
GENERAL-IMPRESSION:POSITIVE	0.6885	0.8571	0.7636	0.6176	68.0
SERVICE:NEGATIVE	0.6184	0.8246	0.7068	0.5465	86.0
SERVICE:NEUTRAL	1.0	1.0	1.0	1.0	2.0
SERVICE:POSITIVE	0.8286	0.8056	0.8169	0.6905	84.0
Micro-AVG	0.4402	0.738	0.5515	0.3807	1006.0
Macro-AVG	0.5014	0.5564	0.4872		1006
