	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7381	0.7045	0.7209	0.5636	55.0
DRINKS#PRICES	1.0	0.6667	0.8	0.6667	3.0
DRINKS#QUALITY	0.8571	0.6667	0.75	0.6	10.0
DRINKS#STYLE_OPTIONS	0.5	0.1667	0.25	0.1429	7.0
FOOD#PRICES	0.6667	0.1333	0.2222	0.125	16.0
FOOD#QUALITY	0.7721	0.8203	0.7955	0.6604	159.0
FOOD#STYLE_OPTIONS	0.6364	0.2917	0.4	0.25	28.0
LOCATION#GENERAL	1.0	0.2	0.3333	0.2	5.0
RESTAURANT#GENERAL	0.5364	0.831	0.6519	0.4836	122.0
RESTAURANT#MISCELLANEOUS	0.5	0.0588	0.1053	0.0556	18.0
RESTAURANT#PRICES	0.4	0.8571	0.5455	0.375	32.0
SERVICE#GENERAL	0.6667	0.8101	0.7314	0.5766	111.0
Micro-AVG	0.6584	0.7012	0.6791	0.5141	566.0
Macro-AVG	0.6895	0.5172	0.5255		566
