	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7333	0.2391	0.3607	0.22	50.0
DRINKS#PRICES	1.0	0.3333	0.5	0.3333	3.0
DRINKS#QUALITY	0.6	0.4286	0.5	0.3333	9.0
DRINKS#STYLE_OPTIONS	0.8333	0.7143	0.7692	0.625	8.0
FOOD#PRICES	1.0	0.4	0.5714	0.4	15.0
FOOD#QUALITY	0.8812	0.5973	0.712	0.5528	161.0
FOOD#STYLE_OPTIONS	0.3182	0.28	0.2979	0.175	40.0
LOCATION#GENERAL	0.25	0.6	0.3529	0.2143	14.0
RESTAURANT#GENERAL	0.6515	0.6143	0.6324	0.4624	93.0
RESTAURANT#MISCELLANEOUS	0.2188	0.3889	0.28	0.1628	43.0
RESTAURANT#PRICES	0.3846	0.3846	0.3846	0.2381	21.0
SERVICE#GENERAL	0.9074	0.6901	0.784	0.6447	76.0
Micro-AVG	0.6877	0.5338	0.601	0.4296	533.0
Macro-AVG	0.6482	0.4725	0.5121		533
