	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6857	0.9231	0.7869	0.6486	37.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	1.0	0.6	0.75	0.6	5.0
DRINKS#STYLE_OPTIONS	1.0	1.0	1.0	1.0	4.0
FOOD#PRICES	0.5714	0.4	0.4706	0.3077	13.0
FOOD#QUALITY	0.9153	0.6429	0.7552	0.6067	89.0
FOOD#STYLE_OPTIONS	0.3333	0.4615	0.3871	0.24	25.0
LOCATION#GENERAL	0.2727	1.0	0.4286	0.2727	11.0
RESTAURANT#GENERAL	0.7234	0.8293	0.7727	0.6296	54.0
RESTAURANT#MISCELLANEOUS	0.5	0.1	0.1667	0.0909	11.0
RESTAURANT#PRICES	0.6667	0.8889	0.7619	0.6154	13.0
SERVICE#GENERAL	0.9268	0.8636	0.8941	0.8085	47.0
Micro-AVG	0.751	0.7211	0.7358	0.582	311.0
Macro-AVG	0.7163	0.7258	0.6812		311
