	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.4231	0.6875	0.5238	0.3548	31.0
AMBIENCE:NEUTRAL	0.25	1.0	0.4	0.25	4.0
AMBIENCE:POSITIVE	0.7292	0.8333	0.7778	0.6364	55.0
FOOD:NEGATIVE	0.5769	0.8108	0.6742	0.5085	118.0
FOOD:NEUTRAL	0.6667	0.6667	0.6667	0.5	20.0
FOOD:POSITIVE	0.8835	0.7165	0.7913	0.6547	139.0
PRICE:NEGATIVE	0.6207	0.8182	0.7059	0.5455	33.0
PRICE:NEUTRAL	0.25	1.0	0.4	0.25	8.0
PRICE:POSITIVE	1.0	1.0	1.0	1.0	5.0
GENERAL-IMPRESSION:NEGATIVE	0.68	0.8718	0.764	0.6182	55.0
GENERAL-IMPRESSION:NEUTRAL	0.6667	0.6667	0.6667	0.5	4.0
GENERAL-IMPRESSION:POSITIVE	0.5823	0.9583	0.7244	0.5679	81.0
SERVICE:NEGATIVE	0.7246	0.8772	0.7937	0.6579	76.0
SERVICE:NEUTRAL	0.3333	1.0	0.5	0.3333	3.0
SERVICE:POSITIVE	0.8472	0.8243	0.8356	0.7176	85.0
Micro-AVG	0.6909	0.8118	0.7465	0.5955	717.0
Macro-AVG	0.6156	0.8488	0.6816		717
