	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.5625	0.5625	0.5625	0.3913	23.0
AMBIENCE:NEUTRAL	0.3333	1.0	0.5	0.3333	3.0
AMBIENCE:POSITIVE	1.0	0.5714	0.7273	0.5714	42.0
FOOD:NEGATIVE	0.8667	0.7027	0.7761	0.6341	82.0
FOOD:NEUTRAL	0.8333	0.3333	0.4762	0.3125	16.0
FOOD:POSITIVE	0.9589	0.5512	0.7	0.5385	130.0
PRICE:NEGATIVE	0.8333	0.6818	0.75	0.6	25.0
PRICE:NEUTRAL	0.0	0.0	0.0	0.0	3.0
PRICE:POSITIVE	0.6667	0.8	0.7273	0.5714	7.0
GENERAL-IMPRESSION:NEGATIVE	0.6296	0.8718	0.7312	0.5763	59.0
GENERAL-IMPRESSION:NEUTRAL	0.4	0.6667	0.5	0.3333	6.0
GENERAL-IMPRESSION:POSITIVE	0.4299	0.9583	0.5935	0.422	109.0
SERVICE:NEGATIVE	0.9231	0.6316	0.75	0.6	60.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	3.0
SERVICE:POSITIVE	0.9	0.6081	0.7258	0.5696	79.0
Micro-AVG	0.7392	0.6521	0.6929	0.5301	647.0
Macro-AVG	0.6225	0.596	0.568		647
