	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5	0.8846	0.6389	0.4694	49.0
DRINKS#PRICES	1.0	1.0	1.0	1.0	2.0
DRINKS#QUALITY	0.75	0.6	0.6667	0.5	6.0
DRINKS#STYLE_OPTIONS	1.0	1.0	1.0	1.0	4.0
FOOD#PRICES	0.5714	0.4	0.4706	0.3077	13.0
FOOD#QUALITY	0.8833	0.631	0.7361	0.5824	91.0
FOOD#STYLE_OPTIONS	0.2333	0.5385	0.3256	0.1944	36.0
LOCATION#GENERAL	0.1053	0.6667	0.1818	0.1	20.0
RESTAURANT#GENERAL	0.5692	0.9024	0.6981	0.5362	69.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	13.0
RESTAURANT#PRICES	0.6667	0.8889	0.7619	0.6154	13.0
SERVICE#GENERAL	0.7	0.7955	0.7447	0.5932	59.0
Micro-AVG	0.5894	0.7092	0.6438	0.4747	375.0
Macro-AVG	0.5816	0.6923	0.602		375
