	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4857	0.6538	0.5574	0.3864	44.0
DRINKS#PRICES	0.4	1.0	0.5714	0.4	5.0
DRINKS#QUALITY	1.0	0.4	0.5714	0.4	5.0
DRINKS#STYLE_OPTIONS	1.0	0.75	0.8571	0.75	4.0
FOOD#PRICES	0.5556	0.5	0.5263	0.3571	14.0
FOOD#QUALITY	0.6737	0.7619	0.7151	0.5565	115.0
FOOD#STYLE_OPTIONS	0.4167	0.3846	0.4	0.25	20.0
LOCATION#GENERAL	0.1429	0.6667	0.2353	0.1333	15.0
RESTAURANT#GENERAL	0.6531	0.7805	0.7111	0.5517	58.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	11.0
RESTAURANT#PRICES	0.8	0.8889	0.8421	0.7273	11.0
SERVICE#GENERAL	0.7955	0.7955	0.7955	0.6604	53.0
Micro-AVG	0.6272	0.6972	0.6604	0.493	355.0
Macro-AVG	0.5769	0.6318	0.5652		355
