	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6977	0.6977	0.6977	0.5357	56.0
DRINKS#PRICES	0.3333	0.6667	0.4444	0.2857	7.0
DRINKS#QUALITY	0.6667	0.25	0.3636	0.2222	9.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.2308	0.375	0.2857	0.1667	36.0
FOOD#QUALITY	0.7794	0.7067	0.7413	0.5889	180.0
FOOD#STYLE_OPTIONS	0.1667	0.1818	0.1739	0.0952	42.0
LOCATION#GENERAL	0.1818	0.4	0.25	0.1429	14.0
RESTAURANT#GENERAL	0.6279	0.7714	0.6923	0.5294	102.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	37.0
RESTAURANT#PRICES	0.5882	0.7143	0.6452	0.4762	21.0
SERVICE#GENERAL	0.8529	0.7733	0.8112	0.6824	85.0
Micro-AVG	0.6261	0.648	0.6369	0.4672	595.0
Macro-AVG	0.5104	0.517	0.4921		595
