	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5526	0.8077	0.6563	0.4884	43.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	3.0
DRINKS#QUALITY	1.0	0.4	0.5714	0.4	5.0
DRINKS#STYLE_OPTIONS	0.8	1.0	0.8889	0.8	5.0
FOOD#PRICES	1.0	0.1	0.1818	0.1	10.0
FOOD#QUALITY	0.7738	0.7738	0.7738	0.6311	103.0
FOOD#STYLE_OPTIONS	0.2857	0.3077	0.2963	0.1739	23.0
LOCATION#GENERAL	0.1818	0.6667	0.2857	0.1667	12.0
RESTAURANT#GENERAL	0.7021	0.8049	0.75	0.6	55.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES	0.4667	0.7778	0.5833	0.4118	17.0
SERVICE#GENERAL	0.7955	0.7955	0.7955	0.6604	53.0
Micro-AVG	0.6641	0.6932	0.6784	0.5133	339.0
Macro-AVG	0.5465	0.5362	0.4819		339
