	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4167	0.7143	0.5263	0.3571	28.0
DRINKS#PRICES	0.5	1.0	0.6667	0.5	4.0
DRINKS#QUALITY	0.5	0.3333	0.4	0.25	4.0
DRINKS#STYLE_OPTIONS	1.0	0.3333	0.5	0.3333	3.0
FOOD#PRICES	0.4286	0.6	0.5	0.3333	9.0
FOOD#QUALITY	0.8049	0.825	0.8148	0.6875	48.0
FOOD#STYLE_OPTIONS	0.0556	0.1429	0.08	0.0417	24.0
LOCATION#GENERAL	0.125	1.0	0.2222	0.125	16.0
RESTAURANT#GENERAL	0.4419	0.9048	0.5938	0.4222	45.0
RESTAURANT#MISCELLANEOUS	0.1818	0.3333	0.2353	0.1333	15.0
RESTAURANT#PRICES	0.6	0.6	0.6	0.4286	7.0
SERVICE#GENERAL	0.5882	0.9091	0.7143	0.5556	36.0
Micro-AVG	0.4709	0.7462	0.5774	0.4059	239.0
Macro-AVG	1.4107	1.924	1.4633		239
