	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3333	0.9286	0.4906	0.325	40.0
DRINKS#PRICES	0.5	0.5	0.5	0.3333	3.0
DRINKS#QUALITY	0.3333	0.3333	0.3333	0.2	5.0
DRINKS#STYLE_OPTIONS	0.2	0.3333	0.25	0.1429	7.0
FOOD#PRICES	0.5714	0.8	0.6667	0.5	8.0
FOOD#QUALITY	0.72	0.9	0.8	0.6667	54.0
FOOD#STYLE_OPTIONS	0.1724	0.7143	0.2778	0.1613	31.0
LOCATION#GENERAL	0.1111	1.0	0.2	0.1111	18.0
RESTAURANT#GENERAL	0.3617	0.8095	0.5	0.3333	51.0
RESTAURANT#MISCELLANEOUS	0.1111	0.1667	0.1333	0.0714	14.0
RESTAURANT#PRICES	0.2	0.2	0.2	0.1111	9.0
SERVICE#GENERAL	0.76	0.8636	0.8085	0.6786	28.0
Micro-AVG	0.4226	0.7769	0.5474	0.3769	268.0
Macro-AVG	1.0936	1.8873	1.29		268
