	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3793	0.7857	0.5116	0.3438	32.0
DRINKS#PRICES	0.3333	0.5	0.4	0.25	4.0
DRINKS#QUALITY	0.3333	0.3333	0.3333	0.2	5.0
DRINKS#STYLE_OPTIONS	0.3333	0.3333	0.3333	0.2	5.0
FOOD#PRICES	0.5714	0.8	0.6667	0.5	8.0
FOOD#QUALITY	0.7556	0.85	0.8	0.6667	51.0
FOOD#STYLE_OPTIONS	0.1667	0.1429	0.1538	0.0833	12.0
LOCATION#GENERAL	0.0952	1.0	0.1739	0.0952	21.0
RESTAURANT#GENERAL	0.5161	0.7619	0.6154	0.4444	36.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	20.0
RESTAURANT#PRICES	0.3333	0.4	0.3636	0.2222	9.0
SERVICE#GENERAL	0.5	0.8636	0.6333	0.4634	41.0
Micro-AVG	0.4466	0.7077	0.5476	0.377	244.0
Macro-AVG	1.0794	1.6927	1.2462		244
