	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5846	0.8837	0.7037	0.5429	70.0
DRINKS#PRICES	0.75	1.0	0.8571	0.75	4.0
DRINKS#QUALITY	0.5	0.625	0.5556	0.3846	13.0
DRINKS#STYLE_OPTIONS	1.0	0.1667	0.2857	0.1667	6.0
FOOD#PRICES	0.6842	0.8125	0.7429	0.5909	22.0
FOOD#QUALITY	0.8193	0.9067	0.8608	0.7556	180.0
FOOD#STYLE_OPTIONS	0.3824	0.5909	0.4643	0.3023	43.0
LOCATION#GENERAL	0.375	0.6	0.4615	0.3	10.0
RESTAURANT#GENERAL	0.6207	0.7714	0.6879	0.5243	103.0
RESTAURANT#MISCELLANEOUS	0.5	0.0588	0.1053	0.0556	18.0
RESTAURANT#PRICES	0.8889	0.5714	0.6957	0.5333	15.0
SERVICE#GENERAL	0.825	0.88	0.8516	0.7416	89.0
Micro-AVG	0.7031	0.7949	0.7462	0.5951	573.0
Macro-AVG	1.9825	1.9668	1.818		573
