	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3465	0.7609	0.4762	0.3125	112.0
DRINKS#PRICES	0.3333	0.6667	0.4444	0.2857	7.0
DRINKS#QUALITY	0.2222	0.5714	0.32	0.1905	21.0
DRINKS#STYLE_OPTIONS	0.6667	0.8571	0.75	0.6	10.0
FOOD#PRICES	0.44	0.7333	0.55	0.3793	29.0
FOOD#QUALITY	0.5799	0.8523	0.6902	0.527	241.0
FOOD#STYLE_OPTIONS	0.2955	0.52	0.3768	0.2321	56.0
LOCATION#GENERAL	0.1818	0.4	0.25	0.1429	14.0
RESTAURANT#GENERAL	0.6923	0.7714	0.7297	0.5745	94.0
RESTAURANT#MISCELLANEOUS	0.5	0.2778	0.3571	0.2174	23.0
RESTAURANT#PRICES	0.4615	0.4615	0.4615	0.3	20.0
SERVICE#GENERAL	0.4959	0.8592	0.6289	0.4586	133.0
Micro-AVG	0.4962	0.7599	0.6004	0.4289	760.0
Macro-AVG	0.4346	0.6443	0.5029		760
