	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3784	0.9545	0.5419	0.3717	113.0
DRINKS#PRICES	0.5	0.6667	0.5714	0.4	5.0
DRINKS#QUALITY	0.6667	0.6667	0.6667	0.5	12.0
DRINKS#STYLE_OPTIONS	0.5	0.1667	0.25	0.1429	7.0
FOOD#PRICES	0.6087	0.9333	0.7368	0.5833	24.0
FOOD#QUALITY	0.5415	0.9688	0.6947	0.5322	233.0
FOOD#STYLE_OPTIONS	0.359	0.5833	0.4444	0.2857	49.0
LOCATION#GENERAL	0.5	0.2	0.2857	0.1667	6.0
RESTAURANT#GENERAL	0.4836	0.831	0.6114	0.4403	134.0
RESTAURANT#MISCELLANEOUS	0.5	0.2353	0.32	0.1905	21.0
RESTAURANT#PRICES	0.8	0.2857	0.4211	0.2667	15.0
SERVICE#GENERAL	0.8571	0.7595	0.8054	0.6742	89.0
Micro-AVG	0.5304	0.7976	0.6372	0.4675	708.0
Macro-AVG	1.6738	1.8129	1.5874		708
