	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4035	0.561	0.4694	0.3067	75.0
DRINKS#PRICES	0.375	1.0	0.5455	0.375	8.0
DRINKS#QUALITY	0.3182	0.875	0.4667	0.3043	23.0
DRINKS#STYLE_OPTIONS	1.0	0.25	0.4	0.25	4.0
FOOD#PRICES	1.0	0.1538	0.2667	0.1538	13.0
FOOD#QUALITY	0.7574	0.6959	0.7254	0.5691	181.0
FOOD#STYLE_OPTIONS	0.2222	0.4348	0.2941	0.1724	58.0
LOCATION#GENERAL	0.0	0.0	0.0	0.0	4.0
RESTAURANT#GENERAL	0.5164	0.9	0.6562	0.4884	129.0
RESTAURANT#MISCELLANEOUS	0.25	0.2	0.2222	0.125	24.0
RESTAURANT#PRICES	0.3929	0.7857	0.5238	0.3548	31.0
SERVICE#GENERAL	0.6129	0.75	0.6746	0.5089	112.0
Micro-AVG	0.538	0.6754	0.5989	0.4275	662.0
Macro-AVG	0.4874	0.5505	0.437		662
