	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.36	0.8372	0.5035	0.3364	107.0
DRINKS#PRICES	0.1579	1.0	0.2727	0.1579	19.0
DRINKS#QUALITY	0.25	0.375	0.3	0.1765	17.0
DRINKS#STYLE_OPTIONS	0.3077	0.6667	0.4211	0.2667	15.0
FOOD#PRICES	0.45	0.5625	0.5	0.3333	27.0
FOOD#QUALITY	0.6875	0.88	0.7719	0.6286	210.0
FOOD#STYLE_OPTIONS	0.2759	0.3636	0.3137	0.186	43.0
LOCATION#GENERAL	0.087	0.8	0.1569	0.0851	47.0
RESTAURANT#GENERAL	0.3	0.7714	0.432	0.2755	196.0
RESTAURANT#MISCELLANEOUS	0.1	0.2353	0.1404	0.0755	53.0
RESTAURANT#PRICES	0.3704	0.7143	0.4878	0.3226	31.0
SERVICE#GENERAL	0.5893	0.88	0.7059	0.5455	121.0
Micro-AVG	0.4215	0.7762	0.5463	0.3758	886.0
Macro-AVG	0.9839	2.0215	1.2515		886
