	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.34	0.7907	0.4755	0.3119	109.0
DRINKS#PRICES	0.1579	1.0	0.2727	0.1579	19.0
DRINKS#QUALITY	0.25	0.375	0.3	0.1765	17.0
DRINKS#STYLE_OPTIONS	0.3077	0.6667	0.4211	0.2667	15.0
FOOD#PRICES	0.4	0.5	0.4444	0.2857	28.0
FOOD#QUALITY	0.6562	0.84	0.7368	0.5833	216.0
FOOD#STYLE_OPTIONS	0.2414	0.3182	0.2745	0.1591	44.0
LOCATION#GENERAL	0.0652	0.6	0.1176	0.0625	48.0
RESTAURANT#GENERAL	0.2944	0.7571	0.424	0.269	197.0
RESTAURANT#MISCELLANEOUS	0.1	0.2353	0.1404	0.0755	53.0
RESTAURANT#PRICES	0.3704	0.7143	0.4878	0.3226	31.0
SERVICE#GENERAL	0.5625	0.84	0.6738	0.5081	124.0
Micro-AVG	0.4025	0.7413	0.5217	0.3529	901.0
Macro-AVG	0.3121	0.6364	0.3974		901
