	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7222	0.6047	0.6582	0.4906	53.0
DRINKS#PRICES	0.3333	0.3333	0.3333	0.2	5.0
DRINKS#QUALITY	1.0	0.125	0.2222	0.125	8.0
DRINKS#STYLE_OPTIONS	0.8	0.6667	0.7273	0.5714	7.0
FOOD#PRICES	0.6667	0.375	0.48	0.3158	19.0
FOOD#QUALITY	0.8239	0.8733	0.8479	0.736	178.0
FOOD#STYLE_OPTIONS	0.4167	0.2273	0.2941	0.1724	29.0
LOCATION#GENERAL	0.0625	1.0	0.1176	0.0625	80.0
RESTAURANT#GENERAL	0.5172	0.6429	0.5732	0.4018	112.0
RESTAURANT#MISCELLANEOUS	0.0137	0.0588	0.0222	0.0112	89.0
RESTAURANT#PRICES	0.6154	0.5714	0.5926	0.4211	19.0
SERVICE#GENERAL	0.5505	0.8	0.6522	0.4839	124.0
Micro-AVG	0.4991	0.683	0.5768	0.4053	723.0
Macro-AVG	1.6305	1.5696	1.3802		723
