	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.2632	0.7143	0.3846	0.2381	21.0
AMBIENCE:NEUTRAL	0	0	0	0	0
AMBIENCE:POSITIVE	0.6667	0.9	0.766	0.6207	29.0
FOOD:NEGATIVE	0.5882	0.9091	0.7143	0.5556	54.0
FOOD:NEUTRAL	0.5556	0.5556	0.5556	0.3846	13.0
FOOD:POSITIVE	0.7344	0.9592	0.8319	0.7121	66.0
PRICE:NEGATIVE	0.4375	0.7	0.5385	0.3684	19.0
PRICE:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
PRICE:POSITIVE	0.25	0.5	0.3333	0.2	5.0
GENERAL-IMPRESSION:NEGATIVE	0.4857	0.9444	0.6415	0.4722	36.0
GENERAL-IMPRESSION:NEUTRAL	0.3333	1.0	0.5	0.3333	3.0
GENERAL-IMPRESSION:POSITIVE	0.4444	0.9091	0.597	0.4255	47.0
SERVICE:NEGATIVE	0.7	0.8077	0.75	0.6	35.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	1.0
SERVICE:POSITIVE	0.9118	0.9394	0.9254	0.8611	36.0
Micro-AVG	0.6	0.8831	0.7145	0.5559	367.0
Macro-AVG	0.4581	0.7226	0.547		367
