	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.2131	0.8125	0.3377	0.2031	64.0
AMBIENCE:NEUTRAL	0.0333	1.0	0.0645	0.0333	30.0
AMBIENCE:POSITIVE	0.5135	0.9048	0.6552	0.4872	78.0
FOOD:NEGATIVE	0.6147	0.9054	0.7322	0.5776	116.0
FOOD:NEUTRAL	0.4062	0.8667	0.5532	0.3824	34.0
FOOD:POSITIVE	0.7697	0.9213	0.8387	0.7222	162.0
PRICE:NEGATIVE	0.5588	0.8636	0.6786	0.5135	37.0
PRICE:NEUTRAL	0.08	1.0	0.1481	0.08	25.0
PRICE:POSITIVE	1.0	0.8	0.8889	0.8	5.0
GENERAL-IMPRESSION:NEGATIVE	0.5161	0.8205	0.6337	0.4638	69.0
GENERAL-IMPRESSION:NEUTRAL	0.1765	1.0	0.3	0.1765	17.0
GENERAL-IMPRESSION:POSITIVE	0.4659	0.8542	0.6029	0.4316	95.0
SERVICE:NEGATIVE	0.4545	0.8772	0.5988	0.4274	117.0
SERVICE:NEUTRAL	0.0526	1.0	0.1	0.0526	19.0
SERVICE:POSITIVE	0.6038	0.8649	0.7111	0.5517	116.0
Micro-AVG	0.5038	0.884	0.6418	0.4726	984.0
Macro-AVG	0.4306	0.8994	0.5229		984
