	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.2791	0.75	0.4068	0.2553	47.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	6.0
AMBIENCE:POSITIVE	0.5323	0.7857	0.6346	0.4648	71.0
FOOD:NEGATIVE	0.3699	0.8649	0.5182	0.3497	183.0
FOOD:NEUTRAL	0.8	0.8	0.8	0.6667	18.0
FOOD:POSITIVE	0.6845	0.9055	0.7797	0.6389	180.0
PRICE:NEGATIVE	0.45	0.8182	0.5806	0.4091	44.0
PRICE:NEUTRAL	0.4	1.0	0.5714	0.4	5.0
PRICE:POSITIVE	0.5556	1.0	0.7143	0.5556	9.0
GENERAL-IMPRESSION:NEGATIVE	0.3793	0.8462	0.5238	0.3548	93.0
GENERAL-IMPRESSION:NEUTRAL	0.1667	0.3333	0.2222	0.125	8.0
GENERAL-IMPRESSION:POSITIVE	0.3015	0.8542	0.4457	0.2867	143.0
SERVICE:NEGATIVE	0.495	0.8772	0.6329	0.463	108.0
SERVICE:NEUTRAL	0.25	1.0	0.4	0.25	4.0
SERVICE:POSITIVE	0.7241	0.8514	0.7826	0.6429	98.0
Micro-AVG	0.4782	0.8555	0.6135	0.4425	1017.0
Macro-AVG	0.4259	0.7791	0.5342		1017
