	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.5	0.8421	0.6275	0.4571	70.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	7.0
AMBIENCE:POSITIVE	0.6529	0.8778	0.7488	0.5985	132.0
FOOD:NEGATIVE	0.6	0.8138	0.6907	0.5276	290.0
FOOD:NEUTRAL	0.6774	0.525	0.5915	0.42	50.0
FOOD:POSITIVE	0.6822	0.883	0.7697	0.6256	398.0
PRICE:NEGATIVE	0.78	0.6964	0.7358	0.5821	67.0
PRICE:NEUTRAL	0.3333	0.3333	0.3333	0.2	15.0
PRICE:POSITIVE	0.4	0.7143	0.5128	0.3448	29.0
GENERAL-IMPRESSION:NEGATIVE	0.6023	0.9626	0.741	0.5886	175.0
GENERAL-IMPRESSION:NEUTRAL	0.6364	0.7	0.6667	0.5	14.0
GENERAL-IMPRESSION:POSITIVE	0.5707	0.8824	0.6931	0.5303	198.0
SERVICE:NEGATIVE	0.75	0.82	0.7834	0.644	191.0
SERVICE:NEUTRAL	0.5	0.6667	0.5714	0.4	5.0
SERVICE:POSITIVE	0.8405	0.8204	0.8303	0.7098	193.0
Micro-AVG	0.6554	0.8337	0.7339	0.5796	1834.0
Macro-AVG	0.5684	0.7025	0.6197		1834
