	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.3684	0.8235	0.5091	0.3415	41.0
AMBIENCE:NEUTRAL	0.0	0.0	0.0	0.0	16.0
AMBIENCE:POSITIVE	0.3918	0.9744	0.5588	0.3878	98.0
FOOD:NEGATIVE	0.5043	0.7973	0.6178	0.447	132.0
FOOD:NEUTRAL	0.3333	0.7143	0.4545	0.2941	34.0
FOOD:POSITIVE	0.6483	0.8545	0.7373	0.5839	161.0
PRICE:NEGATIVE	0.4091	0.8182	0.5455	0.375	48.0
PRICE:NEUTRAL	0.0667	1.0	0.125	0.0667	15.0
PRICE:POSITIVE	0.375	0.6	0.4615	0.3	10.0
GENERAL-IMPRESSION:NEGATIVE	0.2759	0.8205	0.4129	0.2602	123.0
GENERAL-IMPRESSION:NEUTRAL	0.0909	1.0	0.1667	0.0909	22.0
GENERAL-IMPRESSION:POSITIVE	0.3362	0.8125	0.4756	0.312	125.0
SERVICE:NEGATIVE	0.4474	0.6182	0.5191	0.3505	97.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	7.0
SERVICE:POSITIVE	0.5865	0.9242	0.7176	0.5596	109.0
Micro-AVG	0.4263	0.8215	0.5613	0.3902	1038.0
Macro-AVG	0.3223	0.7172	0.4201		1038
