	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5641	0.8462	0.6769	0.5116	43.0
DRINKS#PRICES	0.5	1.0	0.6667	0.5	4.0
DRINKS#QUALITY	1.0	0.4	0.5714	0.4	5.0
DRINKS#STYLE_OPTIONS	1.0	1.0	1.0	1.0	4.0
FOOD#PRICES	0.6	0.3	0.4	0.25	12.0
FOOD#QUALITY	0.7368	0.8333	0.7821	0.6422	109.0
FOOD#STYLE_OPTIONS	0.7143	0.3846	0.5	0.3333	15.0
LOCATION#GENERAL	0.1875	1.0	0.3158	0.1875	16.0
RESTAURANT#GENERAL	0.5231	0.8293	0.6415	0.4722	72.0
RESTAURANT#MISCELLANEOUS	1.0	0.1	0.1818	0.1	10.0
RESTAURANT#PRICES	0.6429	1.0	0.7826	0.6429	14.0
SERVICE#GENERAL	0.6949	0.9318	0.7961	0.6613	62.0
Micro-AVG	0.6302	0.7809	0.6975	0.5355	366.0
Macro-AVG	2.0409	2.1563	1.8287		366
