	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3636	0.5714	0.4444	0.2857	28.0
DRINKS#PRICES	0.3333	0.5	0.4	0.25	4.0
DRINKS#QUALITY	0.3333	0.3333	0.3333	0.2	5.0
DRINKS#STYLE_OPTIONS	0.0	0.0	0.0	0.0	4.0
FOOD#PRICES	0.1667	0.2	0.1818	0.1	10.0
FOOD#QUALITY	0.6053	0.575	0.5897	0.4182	55.0
FOOD#STYLE_OPTIONS	0.1429	0.2857	0.1905	0.1053	19.0
LOCATION#GENERAL	0.3333	0.5	0.4	0.25	4.0
RESTAURANT#GENERAL	0.4091	0.4286	0.4186	0.2647	34.0
RESTAURANT#MISCELLANEOUS	1.0	0.1667	0.2857	0.1667	6.0
RESTAURANT#PRICES	0.5	0.2	0.2857	0.1667	6.0
SERVICE#GENERAL	0.75	0.6818	0.7143	0.5556	27.0
Micro-AVG	0.4667	0.4846	0.4755	0.3119	202.0
Macro-AVG	0.4115	0.3702	0.3537		202
