	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.42	0.4565	0.4375	0.28	75.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	4.0
DRINKS#QUALITY	1.0	0.2857	0.4444	0.2857	7.0
DRINKS#STYLE_OPTIONS	0.0	0.0	0.0	0.0	8.0
FOOD#PRICES	0.3	0.4	0.3429	0.2069	29.0
FOOD#QUALITY	0.6182	0.6846	0.6497	0.4811	212.0
FOOD#STYLE_OPTIONS	0.1364	0.12	0.1277	0.0682	44.0
LOCATION#GENERAL	0.3333	0.2	0.25	0.1429	7.0
RESTAURANT#GENERAL	0.378	0.4429	0.4079	0.2562	121.0
RESTAURANT#MISCELLANEOUS	0.6	0.1667	0.2609	0.15	20.0
RESTAURANT#PRICES	0.1111	0.0769	0.0909	0.0476	21.0
SERVICE#GENERAL	0.4933	0.5211	0.5068	0.3394	109.0
Micro-AVG	0.4759	0.4825	0.4792	0.3151	657.0
Macro-AVG	0.3659	0.2795	0.2932		657
