	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6458	0.7561	0.6966	0.5345	58.0
DRINKS#PRICES	1.0	0.3333	0.5	0.3333	3.0
DRINKS#QUALITY	1.0	0.5714	0.7273	0.5714	7.0
DRINKS#STYLE_OPTIONS	0.0	0.0	0.0	0.0	4.0
FOOD#PRICES	0.6667	0.4706	0.5517	0.381	21.0
FOOD#QUALITY	0.7708	0.8409	0.8043	0.6727	165.0
FOOD#STYLE_OPTIONS	0.2368	0.4286	0.3051	0.18	50.0
LOCATION#GENERAL	0.4	0.5	0.4444	0.2857	7.0
RESTAURANT#GENERAL	0.5859	0.8286	0.6864	0.5225	111.0
RESTAURANT#MISCELLANEOUS	0.125	0.0667	0.087	0.0455	22.0
RESTAURANT#PRICES	0.5	0.75	0.6	0.4286	21.0
SERVICE#GENERAL	0.7442	0.8767	0.805	0.6737	95.0
Micro-AVG	0.6436	0.7469	0.6914	0.5284	564.0
Macro-AVG	0.5563	0.5352	0.5173		564
