	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.7105	0.8182	0.7606	0.6136	44.0
AMBIENCE#GENERAL:NEUTRAL	0.5	1.0	0.6667	0.5	4.0
AMBIENCE#GENERAL:NEGATIVE	0.3333	0.3333	0.3333	0.2	10.0
DRINKS#PRICES:POSITIVE	1.0	0.5	0.6667	0.5	2.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	0.0	0.0	0.0	0.0	1.0
DRINKS#QUALITY:POSITIVE	1.0	0.6667	0.8	0.6667	6.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.0	0.0	0.0	0.0	1.0
DRINKS#STYLE_OPTIONS:POSITIVE	0.0	0.0	0.0	0.0	4.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	0	0	0	0	0
FOOD#PRICES:POSITIVE	0.6	0.6667	0.6316	0.4615	13.0
FOOD#PRICES:NEUTRAL	0	0	0	0	0
FOOD#PRICES:NEGATIVE	1.0	0.25	0.4	0.25	8.0
FOOD#QUALITY:POSITIVE	0.84	0.875	0.8571	0.75	112.0
FOOD#QUALITY:NEUTRAL	0.4	0.5	0.4444	0.2857	7.0
FOOD#QUALITY:NEGATIVE	0.641	0.7812	0.7042	0.5435	46.0
FOOD#STYLE_OPTIONS:POSITIVE	0.2143	0.4615	0.2927	0.1714	35.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.3	0.4286	0.3529	0.2143	14.0
LOCATION#GENERAL:POSITIVE	0.4	0.6667	0.5	0.3333	6.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0	0	0	0	0
RESTAURANT#GENERAL:POSITIVE	0.6377	0.8462	0.7273	0.5714	77.0
RESTAURANT#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	6.0
RESTAURANT#GENERAL:NEGATIVE	0.56	0.8235	0.6667	0.5	28.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.25	0.1111	0.1538	0.0833	12.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	3.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	7.0
RESTAURANT#PRICES:POSITIVE	0.8	0.8	0.8	0.6667	6.0
RESTAURANT#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	2.0
RESTAURANT#PRICES:NEGATIVE	0.4167	0.8333	0.5556	0.3846	13.0
SERVICE#GENERAL:POSITIVE	0.7021	0.9167	0.7952	0.66	50.0
SERVICE#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	3.0
SERVICE#GENERAL:NEGATIVE	0.8158	0.8857	0.8493	0.7381	42.0
Micro-AVG	0.6436	0.7469	0.6914	0.5284	564.0
Macro-AVG	0.3367	0.3657	0.3322		564
