	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4833	0.6744	0.5631	0.3919	74.0
DRINKS#PRICES	0.3333	0.6667	0.4444	0.2857	7.0
DRINKS#QUALITY	0.3636	0.5	0.4211	0.2667	15.0
DRINKS#STYLE_OPTIONS	0.75	0.5	0.6	0.4286	7.0
FOOD#PRICES	0.4	0.625	0.4878	0.3226	31.0
FOOD#QUALITY	0.7349	0.8133	0.7722	0.6289	194.0
FOOD#STYLE_OPTIONS	0.2083	0.4545	0.2857	0.1667	60.0
LOCATION#GENERAL	0.1429	0.6	0.2308	0.1304	23.0
RESTAURANT#GENERAL	0.4017	0.6714	0.5027	0.3357	140.0
RESTAURANT#MISCELLANEOUS	0.125	0.0588	0.08	0.0417	24.0
RESTAURANT#PRICES	0.4286	0.4286	0.4286	0.2727	22.0
SERVICE#GENERAL	0.596	0.7867	0.6782	0.513	115.0
Micro-AVG	0.5112	0.69	0.5873	0.4157	712.0
Macro-AVG	0.414	0.5649	0.4579		712
