	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4557	0.8372	0.5902	0.4186	86.0
DRINKS#PRICES	0.25	1.0	0.4	0.25	12.0
DRINKS#QUALITY	0.6	0.375	0.4615	0.3	10.0
DRINKS#STYLE_OPTIONS	0.6667	0.6667	0.6667	0.5	8.0
FOOD#PRICES	0.6923	0.5625	0.6207	0.45	20.0
FOOD#QUALITY	0.753	0.8333	0.7911	0.6545	191.0
FOOD#STYLE_OPTIONS	0.3	0.2727	0.2857	0.1667	36.0
LOCATION#GENERAL	0.129	0.8	0.2222	0.125	32.0
RESTAURANT#GENERAL	0.3839	0.6143	0.4725	0.3094	139.0
RESTAURANT#MISCELLANEOUS	0.1667	0.1765	0.1714	0.0938	32.0
RESTAURANT#PRICES	0.5556	0.7143	0.625	0.4545	22.0
SERVICE#GENERAL	0.6809	0.8533	0.7574	0.6095	105.0
Micro-AVG	0.5401	0.7226	0.6181	0.4473	693.0
Macro-AVG	1.4084	1.9264	1.5161		693
