	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4867	0.8333	0.6145	0.4435	124.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	4.0
DRINKS#QUALITY	0.8462	0.5	0.6286	0.4583	24.0
DRINKS#STYLE_OPTIONS	0.5	0.5	0.5	0.3333	18.0
FOOD#PRICES	0.4054	0.6522	0.5	0.3333	45.0
FOOD#QUALITY	0.8377	0.7093	0.7682	0.6236	356.0
FOOD#STYLE_OPTIONS	0.2857	0.8	0.4211	0.2667	165.0
LOCATION#GENERAL	0.24	0.9231	0.381	0.2353	51.0
RESTAURANT#GENERAL	0.5219	0.838	0.6432	0.4741	251.0
RESTAURANT#MISCELLANEOUS	0.2381	0.1515	0.1852	0.102	49.0
RESTAURANT#PRICES	0.4571	0.7619	0.5714	0.4	40.0
SERVICE#GENERAL	0.8516	0.8516	0.8516	0.7416	178.0
Micro-AVG	0.5882	0.7416	0.656	0.4881	1305.0
Macro-AVG	1.4176	1.8802	1.5162		1305
