	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.5	0.7174	0.5893	0.4177	79.0
DRINKS#PRICES	0.6667	0.6667	0.6667	0.5	4.0
DRINKS#QUALITY	0.5714	0.5714	0.5714	0.4	10.0
DRINKS#STYLE_OPTIONS	0.8571	0.8571	0.8571	0.75	8.0
FOOD#PRICES	0.4138	0.8	0.5455	0.375	32.0
FOOD#QUALITY	0.6973	0.8658	0.7725	0.6293	205.0
FOOD#STYLE_OPTIONS	0.4118	0.28	0.3333	0.2	35.0
LOCATION#GENERAL	0.125	0.6	0.2069	0.1154	26.0
RESTAURANT#GENERAL	0.5133	0.8286	0.6339	0.464	125.0
RESTAURANT#MISCELLANEOUS	0.1429	0.1111	0.125	0.0667	30.0
RESTAURANT#PRICES	0.5714	0.6154	0.5926	0.4211	19.0
SERVICE#GENERAL	0.7949	0.8732	0.8322	0.7126	87.0
Micro-AVG	0.5853	0.7599	0.6613	0.4939	660.0
Macro-AVG	0.5221	0.6489	0.5605		660
