	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6909	0.8261	0.7525	0.6032	63.0
DRINKS#PRICES	0.5	0.3333	0.4	0.25	4.0
DRINKS#QUALITY	0.5556	0.7143	0.625	0.4545	11.0
DRINKS#STYLE_OPTIONS	0.6667	0.8571	0.75	0.6	10.0
FOOD#PRICES	0.75	0.6	0.6667	0.5	18.0
FOOD#QUALITY	0.8471	0.8926	0.8693	0.7688	173.0
FOOD#STYLE_OPTIONS	0.3962	0.84	0.5385	0.3684	57.0
LOCATION#GENERAL	0.2857	0.8	0.4211	0.2667	15.0
RESTAURANT#GENERAL	0.4138	0.8571	0.5581	0.3871	155.0
RESTAURANT#MISCELLANEOUS	0.186	0.4444	0.2623	0.1509	53.0
RESTAURANT#PRICES	0.6667	0.7692	0.7143	0.5556	18.0
SERVICE#GENERAL	0.8451	0.8451	0.8451	0.7317	82.0
Micro-AVG	0.6068	0.8275	0.7002	0.5387	659.0
Macro-AVG	1.701	2.1948	1.8507		659
