	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL:POSITIVE	0.5682	0.8065	0.6667	0.5	50.0
AMBIENCE#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	4.0
AMBIENCE#GENERAL:NEGATIVE	0.3333	0.5714	0.4211	0.2667	15.0
DRINKS#PRICES:POSITIVE	1.0	0.6667	0.8	0.6667	3.0
DRINKS#PRICES:NEUTRAL	0	0	0	0	0
DRINKS#PRICES:NEGATIVE	0.2	0.5	0.2857	0.1667	6.0
DRINKS#QUALITY:POSITIVE	0.8	0.5714	0.6667	0.5	8.0
DRINKS#QUALITY:NEUTRAL	0	0	0	0	0
DRINKS#QUALITY:NEGATIVE	0.3333	1.0	0.5	0.3333	3.0
DRINKS#STYLE_OPTIONS:POSITIVE	0.75	0.6	0.6667	0.5	6.0
DRINKS#STYLE_OPTIONS:NEUTRAL	0	0	0	0	0
DRINKS#STYLE_OPTIONS:NEGATIVE	0.0	0.0	0.0	0.0	2.0
FOOD#PRICES:POSITIVE	1.0	0.7143	0.8333	0.7143	7.0
FOOD#PRICES:NEUTRAL	0.0	0.0	0.0	0.0	1.0
FOOD#PRICES:NEGATIVE	0.3333	0.1429	0.2	0.1111	9.0
FOOD#QUALITY:POSITIVE	0.7699	0.8365	0.8018	0.6692	130.0
FOOD#QUALITY:NEUTRAL	0.6667	0.8	0.7273	0.5714	7.0
FOOD#QUALITY:NEGATIVE	0.6757	0.7576	0.7143	0.5556	45.0
FOOD#STYLE_OPTIONS:POSITIVE	0.2812	0.6429	0.3913	0.2432	37.0
FOOD#STYLE_OPTIONS:NEUTRAL	0.0	0.0	0.0	0.0	3.0
FOOD#STYLE_OPTIONS:NEGATIVE	0.1818	0.2857	0.2222	0.125	16.0
LOCATION#GENERAL:POSITIVE	0.2222	0.6667	0.3333	0.2	10.0
LOCATION#GENERAL:NEUTRAL	0.0	0.0	0.0	0.0	1.0
LOCATION#GENERAL:NEGATIVE	0.1	1.0	0.1818	0.1	10.0
RESTAURANT#GENERAL:POSITIVE	0.3565	0.7885	0.491	0.3254	126.0
RESTAURANT#GENERAL:NEUTRAL	0.25	0.5	0.3333	0.2	5.0
RESTAURANT#GENERAL:NEGATIVE	0.2353	0.7059	0.3529	0.2143	56.0
RESTAURANT#MISCELLANEOUS:POSITIVE	0.0	0.0	0.0	0.0	12.0
RESTAURANT#MISCELLANEOUS:NEUTRAL	0.0	0.0	0.0	0.0	2.0
RESTAURANT#MISCELLANEOUS:NEGATIVE	0.0	0.0	0.0	0.0	10.0
RESTAURANT#PRICES:POSITIVE	0.625	1.0	0.7692	0.625	8.0
RESTAURANT#PRICES:NEUTRAL	0.5	1.0	0.6667	0.5	2.0
RESTAURANT#PRICES:NEGATIVE	0.3333	0.4286	0.375	0.2308	13.0
SERVICE#GENERAL:POSITIVE	0.8611	0.8857	0.8732	0.775	40.0
SERVICE#GENERAL:NEUTRAL	0.4	1.0	0.5714	0.4	5.0
SERVICE#GENERAL:NEGATIVE	0.6458	0.8158	0.7209	0.5636	55.0
Micro-AVG	0.5101	0.7284	0.6	0.4286	707.0
Macro-AVG	0.3451	0.4913	0.3768		707
